STT,漢字,音（漢越）,読み方,意味
5690,急患,CẤP HOẠN,きゅうかん,bệnh nhân cấp cứu
5691,急遽,CẤP CỰ,きゅうきょ,"vội vàng, khẩn trương"
5692,急所,CẤP SỞ,きゅうしょ,"điểm quan trọng, điểm hiểm yếu"
5693,急性,CẤP TÍNH,きゅうせい,cấp tính
5694,急募,CẤP MỘ,きゅうぼ,tuyển gấp
5695,急務,CẤP VỤ,きゅうむ,"công việc gấp, nhiệm vụ phải làm gấp"
5696,応急,ỨNG CẤP,おうきゅう,sơ cứu
5697,緩急,HOÃN CẤP,かんきゅう,nguy cấp
5698,緊急,KHẨN CẤP,きんきゅう,khẩn cấp
5699,至急,CHÍ CẤP,しきゅう,rất gấp
5700,性急,TÍNH CẤP,せいきゅう,"nóng vội, cần gấp"
5701,急増,CẤP TĂNG,きゅうぞう,"tăng gấp, tăng đột ngột"
5702,急騰,CẤP ĐẰNG,きゅうとう,tăng đột ngột (giá cả)
5703,収益,THU ÍCH,しゅうえき,"thu lợi, lợi ích"
5704,収支,THU CHI,しゅうし,thu chi
5705,収賄,THU HỐI,しゅうわい,"nhận hối lộ, ăn hối lộ"
5706,年収,NIÊN THU,ねんしゅう,thu nhập trong một năm
5707,収穫,THU HOẠCH,しゅうかく,"thu hoạch, gặt hái"
5708,収集,THU TẬP,しゅうしゅう,"thu gom, sưu tập"
5709,収拾,THU THẬP,しゅうしゅう,"thu nhặt, gom lại"
5710,収縮,THU SÚC,しゅうしゅく,"thu hẹp, co thắt lại"
5711,収納,THU NẠP,しゅうのう,"thu nhận tiền, thu hoạch (nông sản), chứa đựng"
5712,収容,THU DUNG,しゅうよう,"sức chứa, dung nạp"
5713,回収,HỒI THU,かいしゅう,thu hồi
5714,吸収,HẤP THU,きゅうしゅう,hấp thụ
5715,撤収,TRIỆT THU,てっしゅう,"rút quân, dỡ (lều), nhổ (trại)"
5716,没収,MỘT THU,ぼっしゅう,"tịch thu, tước quyền"
5717,集荷,TẬP HÀ,しゅうか,"gom hàng hóa về một chỗ, tập kết hàng hóa"
5718,集落,TẬP LẠC,しゅうらく,"thôn làng, hình thái cư trú"
5719,全集,TOÀN TẬP,ぜんしゅう,toàn tập
5720,集計,TẬP KẾ,しゅうけい,"tổng số, tập hợp lại"
5721,集積,TẬP TÍCH,しゅうせき,chất đống
5722,集中,TẬP TRUNG,しゅうちゅう,tập trung
5723,集約,TẬP ƯỚC,しゅうやく,"gộp, tập hợp"
5724,結集,KẾT TẬP,けっしゅう,kết hợp
5725,採集,THÁI TẬP,さいしゅう,thu thập
5726,収集,THU TẬP,しゅうしゅう,"thu gom, sưu tập"
5727,編集,BIÊN TẬP,へんしゅう,biên tập
5728,募集,MỘ TẬP,ぼしゅう,"chiêu mộ, tuyển mộ"
5729,歳入,TUẾ NHẬP,さいにゅう,thu nhập hàng năm
5730,入荷,NHẬP HÀ,にゅうか,nhập hàng
5731,入居,NHẬP CƯ,にゅうきょ,nhập cư
5732,入手,NHẬP THỦ,にゅうしゅ,"có trong tay, nắm giữ"
5733,入賞,NHẬP THƯỞNG,にゅうしょう,"có giải, đạt giải"
5734,入籍,NHẬP TỊCH,にゅうせき,nhập hộ tịch
5735,入選,NHẬP TUYỂN,にゅうせん,qua lọt vòng tuyển lựa
5736,入浴,NHẬP DỤC,にゅうよく,"vào bồn tắm, tắm rửa"
5737,入力,NHẬP LỰC,にゅうりょく,nhập vào
5738,介入,GIỚI NHẬP,かいにゅう,can thiệp
5739,進入,TIẾN NHẬP,しんにゅう,"xâm nhập, tiến vào"
5740,侵入,XÂM NHẬP,しんにゅう,xâm nhập
5741,潜入,TIỀM NHẬP,せんにゅう,thâm nhập
5742,突入,ĐỘT NHẬP,とつにゅう,xông vào
5743,搬入,BAN NHẬP,はんにゅう,"chở vào, mang vào"
5744,編入,BIÊN NHẬP,へんにゅう,"hợp thành tổ chức, sáp nhập"
5745,乱入,LOẠN NHẬP,らんにゅう,"xộc vào, lao vào"
5746,休日,HƯU NHẬT,きゅうじつ,ngày nghỉ
5747,定休,ĐỊNH HƯU,ていきゅう,ngày nghỉ định kì
5748,無休,VÔ HƯU,むきゅう,"không nghỉ, không có ngày nghỉ"
5749,連休,LIÊN HƯU,れんきゅう,nghỉ dài ngày
5750,不眠不休,BẤT MIÊN BẤT HƯU,ふみんふきゅう,"suốt ngày đêm, cả ngày lẫn đêm"
5751,休学,HƯU HỌC,きゅうがく,nghỉ học (do bệnh...)
5752,休戦,HƯU CHIẾN,きゅうせん,đình chiến
5753,休養,HƯU DƯỠNG,きゅうよう,nghỉ dưỡng
5754,救急,CỨU CẤP,きゅうきゅう,cấp cứu
5755,救命,CỨU MỆNH,きゅうめい,cứu mạng
5756,救世主,CỨU THẾ CHỦ,きゅうせいしゅ,đấng cứu thế
5757,救援,CỨU VIỆN,きゅうえん,"cứu viện, cứu trợ"
5758,救済,CỨU TẾ,きゅうさい,cứu tế
5759,救出,CỨU XUẤT,きゅうしゅつ,"cứu thoát, giải cứu"
5760,給仕,CẤP SĨ,きゅうじ,"hầu cận, phục vụ"
5761,給食,CẤP THỰC,きゅうしょく,"suất cơm cung cấp cho nhân viên, học sinh"
5762,時給,THỜI CẤP,じきゅう,lương theo giờ
5763,給水,CẤP THỦY,きゅうすい,cung cấp nước
5764,給付,CẤP PHÓ,きゅうふ,"trợ cấp, phúc lợi"
5765,給油,CẤP DU,きゅうゆ,"cấp dầu, cung cấp nhiên liệu"
5766,供給,CUNG CẤP,きょうきゅう,cung cấp
5767,支給,CHI CẤP,しきゅう,"chi trả, trợ cấp"
5768,昇給,THĂNG CẤP,しょうきゅう,tăng lương
5769,配給,PHỐI CẤP,はいきゅう,"cấp phát, phân phát"
5770,終日,CHUNG NHẬT,しゅうじつ,suốt cả ngày
5771,終点,CHUNG ĐIỂM,しゅうてん,"điểm cuối, trạm cuối"
5772,終電,CHUNG ĐIỆN,しゅうでん,chuyến xe điện cuối cùng trong ngày
5773,終盤,CHUNG BÀN,しゅうばん,"ván cuối, giai đoạn gần kết thúc"
5774,最終,TỐI CHUNG,さいしゅう,sau cùng
5775,終焉,CHUNG YÊN,しゅうえん,"kết thúc, chết đi"
5776,終始,CHUNG THỦY,しゅうし,suốt từ đầu đến cuối
5777,修学,TU HỌC,しゅうがく,tu học
5778,修士,TU SĨ,しゅうし,thạc sĩ
5779,修飾,TU SỨC,しゅうしょく,"tô điểm, trang trí, thêm thắt"
5780,修正,TU CHÍNH,しゅうせい,chỉnh sửa
5781,修了,TU LIỄU,しゅうりょう,"hoàn thành, kết thúc (khóa học)"
5782,改修,CẢI TU,かいしゅう,"sửa sang, cải tiến, nâng cấp"
5783,監修,GIÁM TU,かんしゅう,chủ quản công việc biên tập
5784,就学,TỰU HỌC,しゅうがく,"đến trường học, còn đang học"
5785,就業,TỰU NGHIỆP,しゅうぎょう,"bắt đầu công việc, làm việc"
5786,就職,TỰU CHỨC,しゅうしょく,kiếm việc
