STT,漢字,音（漢越）,読み方,意味
2623,潤う,NHUẬN,うるおう,"ẩm ướt, được hưởng lợi"
2624,狂う,CUỒNG,くるう,"điên loạn, hỏng hóc"
2625,漂う,PHIÊU,ただよう,"nổi, trôi"
2626,争う,TRANH,あらそう,tranh giành
2627,襲う,TẬP,おそう,"công kích, tấn công"
2628,慕う,MỘ,したう,"ngưỡng mộ, tưởng nhớ"
2629,償う,THƯỜNG,つぐなう,bồi thường
2630,縫う,PHÙNG,ぬう,"thêu, khâu vá"
2632,賄う,HỐI,まかなう,"trang trải, cung cấp"
2633,装う,TRANG,よそおう,"làm đẹp, cải trang"
2634,賑わう,CHẨN,にぎわう,"náo nhiệt, huyên náo"
2637,庇う,TÍ,かばう,"bảo vệ, bảo bọc"
2638,競う,CẠNH,きそう,"tranh giành, ganh đua"
2639,繕う,THIỆN,つくろう,"chắp vá, sửa (giày dép)"
2641,舞う,VŨ,まう,"nhảy múa, bay"
2642,養う,DƯỠNG,やしなう,nuôi nấng
2643,憩う,KHẾ,いこう,"nghỉ hơi, giải lao"
2644,伝う,TRUYỀN,つたう,"cùng với, đi theo"
2645,調う,ĐIỀU,ととのう,sẵn sàng
2646,窺う,KHUY,うかがう,"thám thính, chờ cơ hội, điều tra"
2647,囲う,VI,かこう,bao vây
2648,請う,THỈNH,こう,"thỉnh cầu, hỏi, đề nghị"
2649,培う,BỒI,つちかう,"bồi dưỡng, vun xới"
2650,弔う,ĐIẾU,とむらう,thương tiếc (người đã mất)
2651,拭う,THỨC,ぬぐう,lau chùi
2652,労う,LAO,ねぎらう,"cảm kích, cảm ơn"
2653,結う,KẾT,ゆう,"nối, buộc"
2654,呪う,CHÚ,のろう,nguyền rủa
2656,和らぐ,HÒA,やわらぐ,dịu đi
2658,稼ぐ,GIÁ,かせぐ,kiếm tiền
2659,築く,TRÚC,きずく,xây dựng
2660,裂く,LIỆT,さく,"xé rách, xé toạc"
2662,嘆く,THÁN,なげく,"than thở, kêu than"
2664,磨く,MA,みがく,"đánh bóng, chải, gọt giũa"
2665,赴く,PHÓ,おもむく,lên đường đi
2666,背く,BỐI,そむく,"phản bội, quay lưng, làm trái lại"
2667,懐く,HOÀI,なつく,"quen với, đeo theo"
2668,欺く,KHI,あざむく,lừa gạt
2669,欠く,KHIẾM,かく,thiếu
2670,裁く,TÀI,さばく,"xét xử, phán xét"
2671,貫く,QUÁN,つらぬく,"xuyên qua, quán triệt"
2672,弾く,ĐẠN,ひく,"tra (từ điển), căng ra, trừ"
2673,導く,ĐẠO,みちびく,hướng dẫn
2674,寛ぐ,KHOAN,くつろぐ,"nghỉ ngơi, thư giãn"
2675,閃く,THIỂM,ひらめく,"lấp lánh, phấp phới"
2676,噴く,PHÚN,ふく,"phun trào, thổi"
2677,瞬く,THUẤN,またたく,nhấp nháy
2678,揺らぐ,DAO,ゆらぐ,"rung lắc, đu đưa"
2679,仰ぐ,NGƯỠNG,あおぐ,"ngưỡng mộ, nhìn lên"
2680,暴く,BẠO,あばく,"vạch trần, phơi bày, làm lộ"
2681,割く,CÁT,さく,"chia ra, dành ra (thời gian)"
2682,凌ぐ,LĂNG,しのぐ,"áp đảo, vượt trội"
2683,退く,THỐI,しりぞく,thoái lui
2686,轟く,OANH,とどろく,"nổ ầm ầm, gầm lên"
2687,剥ぐ,BÁC,はぐ,"gọt, bóc (vỏ)"
2688,危ぶむ,NGUY,あやぶむ,lo sợ
2689,挑む,THIÊU,いどむ,thách thức
2691,絡む,LẠC,からむ,"gặp rắc rối, dính líu"
2692,組む,TỔ,くむ,lắp ghép
2693,澄む,TRỪNG,すむ,"lọc, lắng xuống, trong"
2694,臨む,LÂM,のぞむ,"nhìn về, đối mặt, đối đãi"
2695,滅ぶ,DIỆT,ほろぶ,"bị phá hủy, bị hủy hoại"
2696,結ぶ,KẾT,むすぶ,"nối, thắt, buộc"
2697,惜しむ,TÍCH,おしむ,"tiếc nuối, tiếc rẻ"
2698,慎む,THẬN,つつしむ,"cẩn trọng, tránh, kiêng khem"
2700,霞む,HÀ,かすむ,mù sương
2701,親しむ,THÂN,したしむ,"thân thiết, thân mật"
2702,弛む,THỈ,たるむ,"cong xuống, nới lỏng"
2703,富む,PHÚ,とむ,"có nhiều, phong phú"
2704,励む,LỆ,はげむ,"nỗ lực, phấn đấu"
2705,弾む,ĐẠN,はずむ,"nảy lên, được khuấy động"
2706,歪む,OAI,ゆがむ,"bẻ cong, vênh, bị bóp méo"
2707,緩む,HOÃN,ゆるむ,"lỏng lẻo, nhẹ nhõm, bớt đi"
2708,営む,DOANH,いとなむ,"điều hành, quản lý"
2709,生む,SINH,うむ,"sinh ra, dẫn đến"
2710,摘む,TRÍCH,つむ,"nắm, gắp, bốc"
2711,尊ぶ,TÔN,とうとぶ,"tôn trọng, kính trọng"
2712,妬む,ĐỐ,ねたむ,ghen tị
2713,阻む,TRỞ,はばむ,"cản trở, ngăn cản"
2714,恵む,HUỆ,めぐむ,"được ân huệ, ban cho"
2715,病む,BỆNH,やむ,bệnh
2716,忍ぶ,NHẪN,しのぶ,"chịu đựng, tránh né"
2717,和む,HÒA,なごむ,"thư thái, điềm tĩnh"
2718,潜む,TIỀM,ひそむ,"ẩn náu, ẩn chứa, chứa đậy"
2719,憐れむ,LÂN,あわれむ,"đồng cảm, thương hại"
2720,悼む,ĐIỆU,いたむ,đau buồn
2721,拒む,CỰ,こばむ,"cự tuyệt, từ chối"
2722,企む,XÍ,たくらむ,bày mưu
2723,貴ぶ,QUÝ,とうとぶ,"tôn kính, tôn trọng"
2724,育む,DỤC,はぐくむ,"ấp ủ, nuôi dưỡng"
2726,脅かす,HIẾP,おびやかす,đe dọa
2727,及ぼす,CẬP,およぼす,gây ra
2728,崩す,BĂNG,くずす,làm sụp đổ
2729,志す,CHÍ,こころざす,ước muốn
2730,壊す,HOẠI,こわす,"phá hủy, làm hỏng"
2731,尽くす,TẪN,つくす,"dốc hết, hết sức"
2732,伸ばす,THÂN,のばす,"kéo dài, vươn, duỗi ra"
2733,励ます,LỆ,はげます,khích lệ
2734,施す,THI,ほどこす,"thực hiện, tiến hành"
2735,戻す,LỆ,もどす,trở lại
2736,催す,THÔI,もよおす,"tổ chức, cảm thấy"
2737,侵す,XÂM,おかす,xâm phạm
2738,脅す,HIẾP,おどす,"bắt nạt, hăm dọa, hiếp đáp"
2740,覆す,PHÚC,くつがえす,"lật ngược, lật lại"
2741,凝らす,NGƯNG,こらす,"làm đông lại, làm cứng"
2742,記す,KÍ,しるす,ghi chép lại
2743,済ます,TẾ,すます,làm cho xong
2744,急かす,CẤP,せかす,"hối thúc, giục giã"
2745,逸らす,DẬT,そらす,"chuyển hướng, nhìn chỗ khác"
2746,費やす,PHÍ,ついやす,chi tiêu
2747,抜かす,BẠT,ぬかす,bỏ sót
2748,逃す,ĐÀO,のがす,bỏ lỡ
2749,果たす,QUẢ,はたす,hoàn thành
2750,生やす,SINH,はやす,mọc (râu)
2751,浸す,TẨM,ひたす,"ngâm, nhúng (nước)"
2752,滅ぼす,DIỆT,ほろぼす,"tàn phá, làm sụp đổ"
2753,任す,NHIỆM,まかす,giao phó
2754,紛らす,PHÂN,まぎらす,"xao nhãng, che đậy"
2755,乱す,LOẠN,みだす,"làm lộn xộn, làm loạn"
2756,召す,TRIỆU,めす,"ăn uống, mắc (bệnh)"
2757,漏らす,LẬU,もらす,"tiết lộ, làm rò rỉ"
2758,癒す,DŨ,いやす,"khuyên giải, chữa lành"
2759,潤す,NHUẬN,うるおす,làm ướt
2760,冒す,MẠO,おかす,"liều, mạo hiểm"
2761,興す,HƯNG,おこす,"chấn hưng, phục hồi"
2762,汚す,Ô,けがす,"làm bẩn, làm nhơ nhuốc"
2763,絶やす,TUYỆT,たやす,diệt trừ
2764,閉ざす,BẾ,とざす,"chặn lại, bít đường"
2765,翻す,PHIÊN,ひるがえす,"rút lại (lời nói, hứa)"
2766,宿す,TÚC,やどす,"có thai, cho thuê trọ"
