STT,漢字,音（漢越）,読み方,意味
5190,低温,ĐÊ ÔN,ていおん,nhiệt độ thấp
5191,低音,ĐÊ ÂM,ていおん,"âm lượng thấp, giọng trầm"
5192,低額,ĐÊ NGẠCH,ていがく,số tiền nhỏ
5193,低級,ĐÊ CẤP,ていきゅう,cấp thấp
5194,低空,ĐÊ KHÔNG,ていくう,tầm thấp
5195,低減,ĐÊ GIẢM,ていげん,"giảm lượng, bớt (chi phí, giá cả...)"
5196,低迷,ĐÊ MÊ,ていめい,"suy sụp, đi xuống, tiêu điều"
5197,低落,ĐÊ LẠC,ていらく,"rơi xuống, hạ xuống"
5198,内外,NỘI NGOẠI,ないがい,"trong ngoài, nội địa và nước ngoài"
5199,内緒,NỘI TỰ,ないしょ,bí mật
5200,内心,NỘI TÂM,ないしん,"trong lòng, tâm đường tròn nội tiếp"
5201,内部,NỘI BỘ,ないぶ,"bên trong, nội bộ"
5202,内紛,NỘI PHÂN,ないふん,tranh chấp nội bộ
5203,内面,NỘI DIỆN,ないめん,mặt trong
5204,内陸,NỘI LỤC,ないりく,"đất liền, nội địa"
5205,家内,GIA NỘI,かない,"trong nhà, gia đình, vợ của mình"
5206,境内,CẢNH NỘI,けいだい,"bên trong đền, chùa"
5207,構内,CẤU NỘI,こうない,sân trường
5208,内向的,NỘI HƯỚNG ĐÍCH,ないこうてき,"hướng nội, sống nội tâm"
5209,内臓,NỘI TẠNG,ないぞう,nội tạng
5210,案内,ÁN NỘI,あんない,hướng dẫn
5211,平等,BÌNH ĐẲNG,びょうどう,bình đẳng
5212,平常,BÌNH THƯỜNG,へいじょう,bình thường
5213,平素,BÌNH TỐ,へいそ,"thông thường, bình thường"
5214,平年,BÌNH NIÊN,へいねん,năm bình thường (không phải năm nhuận)
5215,平方,BÌNH PHƯƠNG,へいほう,"bình phương, vuông"
5216,平面,BÌNH DIỆN,へいめん,mặt phẳng
5217,公平,CÔNG BÌNH,こうへい,công bằng
5218,水平,THỦY BÌNH,すいへい,"nằm ngang, thăng bằng"
5219,不平,BẤT BÌNH,ふへい,"bất bình, bất mãn, không công bằng"
5220,栄養,VINH DƯỠNG,えいよう,dinh dưỡng
5221,栄冠,VINH QUAN,えいかん,"vương miện, vòng nguyệt quế"
5222,栄光,VINH QUANG,えいこう,vinh hạnh
5223,栄誉,VINH DỰ,えいよ,vinh dự
5224,光栄,QUANG VINH,こうえい,"quang vinh, vinh dự"
5225,映像,ÁNH TƯỢNG,えいぞう,"hình ảnh, cảnh phim"
5226,映写,ÁNH TẢ,えいしゃ,trình chiếu
5227,階級,GIAI CẤP,かいきゅう,giai cấp
5228,階層,GIAI TẦNG,かいそう,"giai cấp, tầng lớp"
5229,怪獣,QUÁI THÚ,かいじゅう,quái thú
5230,怪物,QUÁI VẬT,かいぶつ,quái vật
5231,快感,KHOÁI CẢM,かいかん,cảm giác dễ chịu
5232,快諾,KHOÁI NẶC,かいだく,"tán thành, phê chuẩn"
5233,街道,NHAI ĐẠO,かいどう,con đường (kèm sau tên đường)
5234,街頭,NHAI ĐẦU,がいとう,"trên phố, trên đường"
5235,街灯,NHAI ĐĂNG,がいとう,đèn đường
5236,継続,KẾ TỤC,けいぞく,"kế tục, tiếp tục"
5237,継承,KẾ THỪA,けいしょう,"thừa kế, thừa tự"
5238,継父,KẾ PHỤ,けいふ,"kế phụ, cha kế"
5239,継母,KẾ MẪU,けいぼ,"kế mẫu, mẹ kế"
5240,傾斜,KHUYNH TÀ,けいしゃ,"hướng nghiêng, dốc xuống"
5241,傾倒,KHUYNH ĐẢO,けいとう,"tận tụy, hết lòng"
5242,計器,KẾ KHÍ,けいき,công cụ đo
