STT,漢字,音（漢越）,読み方,意味
8501,損なう,TỔN (損),そこなう,"làm hỏng, làm tổn hại"
8502,そびえる,-,そびえる,"sừng sững, cao chót vót"
8503,繕う,THIỆN (繕),つくろう,"sửa sang, chỉnh trang, chắp vá"
8504,滞る,TRỆ (滞),とどこおる,"đình trệ, chậm trễ"
8505,懐く,HOÀI (懐),なつく,"quấn quýt, trở nên thân thiết"
8506,担う,ĐẢM (担),になう,"gánh vác, đảm đương"
8507,妬む,ĐỐ (妬),ねたむ,"ghen tị, đố kị"
8508,隔たる,CÁCH (隔),へだたる,"cách xa, chênh lệch"
8509,葬る,TÁNG (葬),ほうむる,"chôn cất, mai táng; vùi lấp"
8510,綻びる／綻ぶ,TRÁN (綻),ほころびる／ほころぶ,"bung ra, hé nở, (mặt) giãn ra"
8511,施す,THI (施),ほどこす,"thi hành, ban cho"
8512,滅びる／滅ぶ,DIỆT (滅),ほろびる／ほろぶ,"diệt vong, tuyệt diệt"
8513,催す,THÔI (催),もよおす,"tổ chức; bắt đầu cảm thấy"
8514,歪む,OAI (歪),ゆがむ,"méo mó, cong vênh"
8515,蘇る,TÔ (蘇),よみがえる,"sống lại, hồi sinh; nhớ lại"
8516,煽る,PHIẾN (煽),あおる,"kích động, thổi bùng"
8517,嘲る,TRÀO (嘲),あざける,"chế nhạo, cười nhạo"
8518,侮る,VŨ (侮),あなどる,"coi thường, khinh thường"
8519,偽る,NGỤY (偽),いつわる,"nói dối, giả dối, lừa gạt"
8520,うぬぼれる,-,うぬぼれる,"tự cao tự đại, tự phụ"
8521,潤す,NHUẬN (潤),うるおす,"làm ẩm, thấm ướt"
8522,うろつく,-,うろつく,đi lang thang vô định
