STT,漢字,音（漢越）,読み方,意味
3341,機関,CƠ QUAN,きかん,cơ quan
3342,機器,CƠ KHÍ,きき,"thiết bị, máy móc"
3343,機構,CƠ CẤU,きこう,cơ cấu
3344,機材,CƠ TÀI,きざい,máy móc và thiết bị
3345,機種,CƠ CHỦNG,きしゅ,loại máy
3346,機密,CƠ MẬT,きみつ,"cơ mật, bí mật quan trọng"
3347,危機,NGUY CƠ,きき,khủng hoảng
3348,時機,THỜI CƠ,じき,"cơ hội, thời cơ"
3349,転機,CHUYỂN CƠ,てんき,bước ngoặt
3350,投機,ĐẦU CƠ,とうき,đầu cơ
3351,動機,ĐỘNG CƠ,どうき,động cơ
3352,下記,HẠ KÍ,かき,"viết phía dưới, dưới đây"
3353,手記,THỦ KÍ,しゅき,tự ghi chép (kinh nghiệm | cảm tưởng)
3354,上記,THƯỢNG KÍ,じょうき,"viết bên trên, trên đây"
3355,伝記,TRUYỀN KÍ,でんき,tiểu sử
3356,簿記,BỘ KÍ,ぼき,làm sổ sách
3357,記載,KÍ TÀI,きさい,"ghi chép, viết"
3358,記述,KÍ THUẬT,きじゅつ,viết mô tả
3359,記帳,KÍ TRƯỚNG,きちょう,"viết vào sổ, đăng kí vào sổ"
3360,記名,KÍ DANH,きめい,"điền tên, kí tên"
3361,暗記,ÁM KÍ,あんき,thuộc lòng
3362,登記,ĐĂNG KÍ,とうき,đăng kí
3363,帰化,QUY HÓA,きか,"nhập quốc tịch, du nhập"
3364,帰京,QUY KINH,ききょう,"về kinh đô, về Tokyo"
3365,帰省,QUY TỈNH,きせい,về quê
3366,帰属,QUY THUỘC,きぞく,thuộc về
3367,回帰,HỒI QUY,かいき,"hồi quy, quay trở lại"
3368,復帰,PHỤC QUY,ふっき,"khôi phục, trở lại trạng thái ban đầu"
3369,偽善,NGỤY THIỆN,ぎぜん,đạo đức giả
3370,偽名,NGỤY DANH,ぎめい,mạo danh
3371,虚偽,HƯ NGỤY,きょぎ,"giả dối, sai sự thật"
3372,真偽,CHÂN NGỤY,しんぎ,thật và giả
3373,偽装,NGỤY TRANG,ぎそう,"ngụy trang, cải trang"
3374,偽造,NGỤY TẠO,ぎぞう,"ngụy tạo, giả mạo"
3375,苦境,KHỔ CẢNH,くきょう,tình thế khó khăn
3376,苦渋,KHỔ SÁP,くじゅう,"đau khổ, gay go"
3377,苦情,KHỔ TÌNH,くじょう,"than phiền, phàn nàn, nỗi khổ"
3378,苦笑,KHỔ TIẾU,くしょう,"cười gượng, cười chua chát"
3379,苦戦,KHỔ CHIẾN,くせん,"chiến đấu gian khổ, cuộc chiến vất vả"
3380,苦悩,KHỔ NÃO,くのう,khổ tâm
3381,語彙,NGỮ VỰNG,ごい,từ vựng
3382,語幹,NGỮ CÁN,ごかん,"gốc từ, chủ tố"
3383,語句,NGỮ CÚ,ごく,cụm từ ngữ
3384,語源,NGỮ NGUYÊN,ごげん,nguồn gốc của từ
3385,語順,NGỮ THUẬN,ごじゅん,trật tự từ ngữ
3386,語尾,NGỮ VĨ,ごび,"vĩ tố, âm cuối, chữ tận cùng"
3387,私益,TƯ ÍCH,しえき,"tư lợi, lợi ích cá nhân"
3388,私語,TƯ NGỮ,しご,"nói chuyện riêng, thì thầm"
3389,私費,TƯ PHÍ,しひ,tự trả tiền
3390,私服,TƯ PHỤC,しふく,thường phục
3391,私物,TƯ VẬT,しぶつ,đồ của mình
3392,私用,TƯ DỤNG,しよう,"công việc riêng, sử dụng cho mình"
3393,私有,TƯ HỮU,しゆう,"tư hữu, sở hữu cá nhân"
3394,公私混同,CÔNG TƯ HỖN ĐỒNG,こうしこんどう,công tư lẫn lộn
3395,資格,TƯ CÁCH,しかく,"tư cách, năng lực, bằng cấp"
3396,資金,TƯ KIM,しきん,tiền vốn
3397,資材,TƯ TÀI,しざい,"vật liệu, nguyên liệu"
3398,資産,TƯ SẢN,しさん,"tài sản, của cải"
3399,資質,TƯ CHẤT,ししつ,"tư chất, tài năng bẩm sinh"
3400,資本,TƯ BẢN,しほん,"tư bản, vốn"
3401,資料,TƯ LIỆU,しりょう,tư liệu
3402,物資,VẬT TƯ,ぶっし,"vật tư, nguồn cung"
3403,増資,TĂNG TƯ,ぞうし,tăng vốn
3404,投資,ĐẦU TƯ,とうし,đầu tư
3405,指針,CHỈ CHÂM,ししん,"hướng dẫn, chỉ đạo, phương châm"
3406,指紋,CHỈ VĂN,しもん,dấu vân tay
3407,指揮,CHỈ HUY,しき,chỉ huy
3408,指摘,CHỈ TRÍCH,してき,chỉ trích
3409,指名,CHỈ DANH,しめい,"chỉ định, bổ nhiệm"
3410,指令,CHỈ LỆNH,しれい,"chỉ thị, mệnh lệnh"
3411,指図,CHỈ ĐỒ,さしず,"chỉ dẫn, ra lệnh"
3412,死因,TỬ NHÂN,しいん,nguyên nhân chết
3413,死角,TỬ GIÁC,しかく,"góc chết, phạm vi không nhìn thấy"
3414,死刑,TỬ HÌNH,しけい,tử hình
3415,死語,TỬ NGỮ,しご,"từ lỗi thời, tử ngữ"
3416,生死,SINH TỬ,せいし,sống và chết
3417,必死,TẤT TỬ,ひっし,"trối chết, quyết tử"
3418,瀕死,TẦN TỬ,ひんし,"sắp chết, hấp hối"
