STT,漢字,音（漢越）,読み方,意味
2323,朝飯前,TRIÊU PHẠN TIỀN,あさめしまえ,dễ ợt
2324,後始末,HẬU THỦY MẠT,あとしまつ,dọn dẹp đâu ra đó
2325,頭文字,ĐẦU VĂN TỰ,かしらもじ,"chữ viết hoa, chữ cái đầu"
2326,上半期,THƯỢNG BÁN KỲ,かみはんき,6 tháng đầu năm
2327,口約束,KHẨU ƯỚC THÚC,くちやくそく,hứa miệng
2328,差出人,SAI XUẤT NHÂN,さしだしにん,người gửi
2329,時節柄,THỜI TIẾT BỈNH,じせつがら,hợp với thời tiết
2330,正念場,CHÍNH NIỆM TRƯỜNG,しょうねんば,"phần chính, đoạn quan trọng"
2331,世間並,THẾ GIAN TỊNH,せけんなみ,rất đỗi bình thường
2332,世間話,THẾ GIAN THOẠI,せけんばなし,chuyện thế gian
2333,瀬戸際,LẠI HỘ TẾ,せとぎわ,bờ vực
2334,手加減,THỦ GIA GIẢM,てかげん,"nhẹ tay, nương tay"
2335,出来高,XUẤT LAI CAO,できだか,"doanh thu, lượng thu hoạch"
2336,手数料,THỦ SỐ LIỆU,てすうりょう,lệ phí
2337,手土産,THỦ THỔ SẢN,てみやげ,quà mang đến
2338,得意先,ĐẮC Ý TIÊN,とくいさき,"bạn hàng, khách hàng thân thiết"
2339,土壇場,THỔ ĐÀN TRƯỜNG,どたんば,"đến giờ chót, đến phút cuối cùng"
2340,取締役,THỦ ĐẾ DỊCH,とりしまりやく,giám đốc
2341,似顔絵,TỰ NHAN HỘI,にがおえ,tranh chân dung
2342,寝心地,TẨM TÂM ĐỊA,ねごこち,cảm giác khi nằm
2343,乗組員,THỪA TỔ VIÊN,のりくみいん,"thuyền viên, phi hành đoàn"
2344,普段着,PHỔ ĐOẠN TRỨ,ふだんぎ,"ăn vận bình thường, mặc giản dị"
2345,不手際,BẤT THỦ TẾ,ふてぎわ,không khéo léo
2346,真正面,CHÂN CHÍNH DIỆN,ましょうめん,ngay chính diện
2347,真夜中,CHÂN DẠ TRUNG,まよなか,nửa đêm
2348,身支度,THÂN CHI ĐỘ,みじたく,"chưng diện, sắm sửa"
2349,身代金,THÂN ĐẠI KIM,みのしろきん,tiền chuộc
2350,無法者,VÔ PHÁP GIẢ,むほうもの,"người sống ngoài vòng pháp luật, người coi thường luật pháp"
2351,目分量,MỤC PHÂN LƯỢNG,めぶんりょう,"phỏng đoán, nhắm chừng"
2352,野次馬,DÃ THỨ MÃ,やじうま,đám đông hiếu kì
2353,雪合戦,TUYẾT HỢP CHIẾN,ゆきがっせん,chơi ném tuyết
2354,雪景色,TUYẾT CẢNH SẮC,ゆきげしき,cảnh tuyết rơi
2355,夢物語,MỘNG VẬT NGỮ,ゆめものがたり,"chuyện chiêm bao, chuyện tưởng tượng"
2356,不安定,BẤT AN ĐỊNH,ふあんてい,không ổn định
2357,不可解,BẤT KHẢ GIẢI,ふかかい,"không thể lý giải, bí hiểm, khó hiểu"
2358,不可避,BẤT KHẢ TỊ,ふかひ,không tránh khỏi
2359,不機嫌,BẤT CƠ HIỀM,ふきげん,tâm trạng không tốt
2360,不気味,BẤT KHÍ VỊ,ぶきみ,"rùng mình, sợ sệt"
2361,不器用,BẤT KHÍ DỤNG,ぶきよう,"vụng về, không tháo vát"
2362,不謹慎,BẤT CẨN THẬN,ふきんしん,"không thận trọng, hớ hênh, trơ trẽn"
2363,不健全,BẤT KIỆN TOÀN,ふけんぜん,"không khỏe mạnh, độc hại, không trong lành"
2364,不細工,BẤT TẾ CÔNG,ぶさいく,"thô kệch, xấu"
2365,不条理,BẤT ĐIỀU LÝ,ふじょうり,"vô lý, phi lý"
2366,不相応,BẤT TƯƠNG ỨNG,ふそうおう,không phù hợp
2367,不都合,BẤT ĐÔ HỢP,ふつごう,không thuận tiện
2368,不適格,BẤT THÍCH CÁCH,ふてきかく,"không tương xứng, không thỏa đáng"
2369,不透明,BẤT THẤU MINH,ふとうめい,không trong suốt
2370,不平等,BẤT BÌNH ĐẲNG,ふびょうどう,bất bình đẳng
2371,不本意,BẤT BỔN Ý,ふほんい,"miễn cưỡng, không như mong muốn"
2372,不名誉,BẤT DANH DỰ,ふめいよ,"mất danh dự, ô danh"
2373,不愉快,BẤT DU KHOÁI,ふゆかい,không thoải mái
2374,不用心,BẤT DỤNG TÂM,ぶようじん,"bất cẩn, khinh suất"
2375,無愛想,VÔ ÁI TƯỞNG,ぶあいそう,"cộc lốc, không chan hòa"
2376,無遠慮,VÔ VIỄN LỰ,ぶえんりょ,không khách sáo
2377,無意識,VÔ Ý THỨC,むいしき,vô ý thức
2378,無関係,VÔ QUAN HỆ,むかんけい,không liên quan
2379,無関心,VÔ QUAN TÂM,むかんしん,không quan tâm
2380,無気力,VÔ KHÍ LỰC,むきりょく,thiếu sinh khí
2381,無作為,VÔ TÁC VI,むさくい,ngẫu nhiên
2382,無差別,VÔ SAI BIỆT,むさべつ,không phân biệt
2383,無自覚,VÔ TỰ GIÁC,むじかく,không tự giác
2384,無条件,VÔ ĐIỀU KIỆN,むじょうけん,vô điều kiện
2385,無神経,VÔ THẦN KINH,むしんけい,"thản nhiên, không bận tâm"
2386,無尽蔵,VÔ TẪN TÀNG,むじんぞう,không cạn kiệt
2387,無制限,VÔ CHẾ HẠN,むせいげん,"không giới hạn, vô hạn"
2388,無責任,VÔ TRÁCH NHIỆM,むせきにん,vô trách nhiệm
2389,無造作,VÔ TẠO TÁC,むぞうさ,"dễ dàng, đơn giản"
2390,無秩序,VÔ TRẬT TỰ,むちつじょ,"không có trật tự, lộn xộn"
2391,無抵抗,VÔ ĐỀ KHÁNG,むていこう,không kháng cự
2392,無頓着,VÔ ĐỐN TRƯỚC,むとんちゃく,"dửng dưng, không lo nghĩ, thờ ơ"
2393,無能力,VÔ NĂNG LỰC,むのうりょく,không có năng lực
2394,無表情,VÔ BIỂU TÌNH,むひょうじょう,không biểu cảm
2395,無防備,VÔ PHÒNG BỊ,むぼうび,không phòng bị
2396,無理解,VÔ LÝ GIẢI,むりかい,không hiểu (cảm xúc người khác)
2397,最高裁,TỐI CAO TÀI,さいこうさい,tòa án tối cao
2398,最高潮,TỐI CAO TRÀO,さいこうちょう,"đỉnh cao, cao trào"
2399,最高峰,TỐI CAO PHONG,さいこうほう,"núi cao nhất, người giỏi nhất ở một lĩnh vực"
2400,最盛期,TỐI THỊNH KỲ,さいせいき,thời kì cực thịnh
2401,最前線,TỐI TIỀN TUYẾN,さいぜんせん,"tiền tuyến, hàng đầu"
2402,最大限,TỐI ĐẠI HẠN,さいだいげん,cực đại
2403,最低限,TỐI ĐÊ HẠN,さいていげん,cực thấp
2404,最適地,TỐI THÍCH ĐỊA,さいてきち,nơi thích hợp nhất
2405,再検討,TÁI KIỂM THẢO,さいけんとう,kiểm tra lại
2406,再出発,TÁI XUẤT PHÁT,さいしゅっぱつ,"xuất phát lại, làm lại từ đầu, khởi động lại"
2407,再認識,TÁI NHẬN THỨC,さいにんしき,nhận thức lại
2408,好景気,HẢO CẢNH KHÍ,こうけいき,tình hình kinh tế thuận lợi
2409,好人物,HẢO NHÂN VẬT,こうじんぶつ,người tốt
2410,好都合,HẢO ĐÔ HỢP,こうつごう,thuận lợi
2411,一大事,NHẤT ĐẠI SỰ,いちだいじ,chuyện to tát
2412,一人称,NHẤT NHÂN XƯNG,いちにんしょう,ngôi thứ nhất
2413,一人前,NHẤT NHÂN TIỀN,いちにんまえ,"phần cho 1 người, người lớn trưởng thành"
2414,一目散,NHẤT MỤC TÁN,いちもくさん,"chạy một mạch, chạy thẳng không ngoảnh lại"
2415,一昼夜,NHẤT TRÚ DẠ,いっちゅうや,"trọn một ngày, 24 giờ"
2416,一直線,NHẤT TRỰC TUYẾN,いっちょくせん,"một đường thẳng, thẳng một mạch"
2417,紙一重,CHỈ NHẤT TRỌNG,かみひとえ,"mỏng như tờ giấy, sai khác chút đỉnh"
2418,間一髪,GIAN NHẤT PHÁT,かんいっぱつ,"thoát chết trong gang tấc, vừa kịp"
2419,刻一刻,KHẮC NHẤT KHẮC,こくいっこく,từng phút từng giây
2420,三差路,TAM SAI LỘ,さんさろ,ngã ba đường
2422,第一線,ĐỆ NHẤT TUYẾN,だいいっせん,nơi tuyến đầu
2423,一安心,NHẤT AN TÂM,ひとあんしん,tạm an tâm
2424,人一倍,NHÂN NHẤT BỘI,ひといちばい,hơn người thường
2425,一昔前,NHẤT TÍCH TIỀN,ひとむかしまえ,xa xưa
