STT,漢字,音（漢越）,読み方,意味
1986,合間,HỢP GIAN,あいま,thời gian giải lao
1987,獲物,HOẠCH VẬT,えもの,con mồi
1988,大幅,ĐẠI PHÚC,おおはば,phạm vi rộng
1989,貝殻,BỐI XÁC,かいがら,vỏ sò
1990,垣根,VIÊN CĂN,かきね,"hàng rào, đường chia ranh giới"
1991,草花,THẢO HOA,くさばな,hoa cỏ
1992,心得,TÂM ĐẮC,こころえ,"hiểu biết, lưu ý"
1993,小銭,TIỂU TIỀN,こぜに,"tiền lẻ, tiền nhỏ"
1994,芝居,CHI CƯ,しばい,diễn kịch
1995,手当,THỦ ĐƯƠNG,てあて,"tiền phụ cấp, trị bệnh"
1996,手薄,THỦ BẠC,てうす,"thiếu nhân lực, ít (tiền, của)"
1997,手際,THỦ TẾ,てぎわ,"tài nghệ, khéo léo"
1998,泥沼,NÊ CHIỂU,どろぬま,"đầm lầy, bùn nhơ"
1999,浜辺,TÂN BIÊN,はまべ,"bờ biển, bãi biển"
2000,一息,NHẤT TỨC,ひといき,"hít một hơi, nghỉ một lát, làm một lèo không nghỉ, chút cố gắng"
2001,人影,NHÂN ẢNH,ひとかげ,cái bóng người
2002,人柄,NHÂN BỈNH,ひとがら,"nhân cách, phẩm cách tốt"
2003,街角,NHAI GIÁC,まちかど,"góc phố, đầu ngõ"
2004,物事,VẬT SỰ,ものごと,sự vật sự việc
2005,夕闇,TỊCH ÁM,ゆうやみ,"bóng đêm, nhá nhem tối"
2006,間柄,GIAN BỈNH,あいだがら,mối quan hệ
2007,稲光,ĐẠO QUANG,いなびかり,"ánh chớp, tia chớp"
2008,内訳,NỘI DỊCH,うちわけ,"chi tiết, chia theo từng mục nội dung"
2009,腕前,UYỂN TIỀN,うでまえ,"tài khéo léo, tay nghề"
2010,大筋,ĐẠI CÂN,おおすじ,đại khái
2011,織物,CHỨC VẬT,おりもの,"đồ đan, vải dệt"
2012,勝手,THẮNG THỦ,かって,"nhà bếp, sự tình, tiện nghi, sinh kế"
2013,小売,TIỂU MẠI,こうり,bán lẻ
2014,下心,HẠ TÂM,したごころ,suy nghĩ dấu kín trong lòng
2015,下火,HẠ HỎA,したび,"tắt ngóm, yếu đi"
2016,建前,KIẾN TIỀN,たてまえ,ngoài mặt
2017,津波,TÂN BA,つなみ,sóng thần
2018,手頃,THỦ KHOẢNH,てごろ,"(giá) phải chăng, vừa tay, vừa sức"
2019,手引,THỦ DẪN,てびき,"hướng dẫn, chỉ dạy"
2020,時折,THỜI CHIẾT,ときおり,"thỉnh thoảng, đôi lúc"
2021,年頃,NIÊN KHOẢNH,としごろ,"độ tuổi, tuổi cập kê"
2022,鳥居,ĐIỂU CƯ,とりい,cổng vào đền thờ thần đạo
2023,取引,THỦ DẪN,とりひき,"giao dịch, đối tác"
2024,中程,TRUNG TRÌNH,なかほど,"khoảng giữa, chính giữa"
2025,生身,SINH THÂN,なまみ,cơ thể sống
2026,音色,ÂM SẮC,ねいろ,âm sắc
2027,初耳,SƠ NHĨ,はつみみ,mới nghe lần đầu
2028,日陰,NHẬT ÂM,ひかげ,bóng râm
2029,一筋,NHẤT CÂN,ひとすじ,"một dòng (sông), một gia tộc, một dây"
2030,火花,HỎA HOA,ひばな,"tia lửa, hồ quang điện"
2031,真心,CHÂN TÂM,まごころ,"thành tâm, chân thật"
2032,道端,ĐẠO ĐOAN,みちばた,"lề đường, vệ đường"
2033,屋敷,ỐC PHU,やしき,"khu đất xây nhà, khu nhà phức hợp"
2034,横綱,HOÀNH CƯƠNG,よこづな,bậc cao nhất của võ sĩ Sumo
2035,悪者,ÁC GIẢ,わるもの,"kẻ xấu, người làm ác"
2036,荒波,HOANG BA,あらなみ,cơn sóng dữ dội
2037,石垣,THẠCH VIÊN,いしがき,tường đá
2038,命綱,MỆNH CƯƠNG,いのちづな,"đai cứu sinh, dây an toàn"
2039,渦潮,OA TRÀO,うずしお,"sóng cuộn trào, xoáy nước"
2040,内輪,NỘI LUÂN,うちわ,"chuyện nội bộ, người thân"
2041,裏表,LÝ BIỂU,うらおもて,mặt trước và sau
2042,売値,MẠI TRỊ,うりね,giá bán
2043,大粒,ĐẠI LẠP,おおつぶ,"hạt to, (mưa) nặng hạt"
2044,大手,ĐẠI THỦ,おおて,công ty lớn
2045,奥底,ÁO ĐỂ,おくそこ,nơi sâu thẳm
2046,面影,DIỆN ẢNH,おもかげ,"hình bóng, vết tích"
2047,親元,THÂN NGUYÊN,おやもと,nơi cha mẹ ở
2048,陰口,ÂM KHẨU,かげぐち,"nói xấu, nói lén"
2049,片隅,PHIẾN NGUNG,かたすみ,"góc khuất, xó xỉnh"
