STT,漢字,音（漢越）,読み方,意味
3205,不況,BẤT HUỐNG,ふきょう,"kinh doanh trì trệ, kinh tế suy thoái"
3206,不在,BẤT TẠI,ふざい,"vắng mặt, không có ở nhà"
3207,不順,BẤT THUẬN,ふじゅん,không theo quy luật
3208,不信,BẤT TÍN,ふしん,"không tín nhiệm, không giữ chữ tín"
3209,不振,BẤT CHẤN,ふしん,không thuận lợi
3210,不調,BẤT ĐIỀU,ふちょう,"hỏng hóc, trục trặc"
3211,不定,BẤT ĐỊNH,ふてい,bất định
3212,不動,BẤT ĐỘNG,ふどう,bất động
3213,不備,BẤT BỊ,ふび,"không đầy đủ, chưa hoàn chỉnh"
3214,不明,BẤT MINH,ふめい,không rõ ràng
3215,不良,BẤT LƯƠNG,ふりょう,không tốt
3216,不和,BẤT HÒA,ふわ,bất hòa
3217,保険,BẢO HIỂM,ほけん,bảo hiểm
3218,保養,BẢO DƯỠNG,ほよう,bảo dưỡng
3219,保育,BẢO DỤC,ほいく,nuôi dạy
3220,保温,BẢO ÔN,ほおん,giữ ấm
3221,保管,BẢO QUẢN,ほかん,bảo quản
3222,保護,BẢO HỘ,ほご,bảo hộ
3223,保守,BẢO THỦ,ほしゅ,"giữ gìn, duy trì, bảo thủ"
3224,保証,BẢO CHỨNG,ほしょう,"bảo hành, đảm bảo"
3225,保障,BẢO CHƯỚNG,ほしょう,"bồi thường, bảo đảm"
3226,保存,BẢO TỒN,ほぞん,"bảo tồn, lưu lại"
3227,保留,BẢO LƯU,ほりゅう,bảo lưu
3228,確保,XÁC BẢO,かくほ,"nắm chắc, giữ vững"
3229,担保,ĐAM BẢO,たんぽ,"đảm bảo, khoản thế chấp"
3230,補欠,BỔ KHUYẾT,ほけつ,bổ khuyết
3231,補講,BỔ GIẢNG,ほこう,dạy bù
3232,候補,HẬU BỔ,こうほ,ứng cử
3233,補給,BỔ CẤP,ほきゅう,cung cấp thêm
3234,補強,BỔ CƯỜNG,ほきょう,tăng cường
3235,補佐,BỔ TÁ,ほさ,"trợ lý, phụ tá"
3236,補習,BỔ TẬP,ほしゅう,học bù
3237,補充,BỔ SUNG,ほじゅう,bổ sung
3238,補助,BỔ TRỢ,ほじょ,"bổ trợ, trợ cấp"
