STT,漢字,音（漢越）,読み方,意味
6660,のどが潤う,NHUẬN (潤),のどがうるおう,thông cổ
6661,予定が狂う,CUỒNG (狂),よていがくるう,dự định rối tung
6662,波に漂う,PHIÊU (漂),なみにただよう,nổi lên trên sóng
6663,先例に倣う,PHỎNG (倣),せんれいにならう,làm theo tiền lệ
6664,町が賑わう,CHẨN (賑),まちがにぎわう,thị trấn nhộn nhịp
6665,責任を負う,PHỤ (負),せきにんをおう,chịu trách nhiệm
6666,社長の椅子を争う,TRANH (争),しゃちょうのいすをあらそう,giành ghế giám đốc
6667,町を襲う,TẬP (襲),まちをおそう,tấn công thị trấn
6668,先輩を慕う,MỘ (慕),せんぱいをしたう,tôn sùng đàn anh
6669,罪を償う,THƯỜNG (償),つみをつぐなう,"chuộc tội, đền tội"
6670,糸で布を縫う,PHÙNG (縫),いとでぬのをぬう,may vải
6671,急所を狙う,THƯ (狙),きゅうしょをねらう,nhắm vào chỗ yếu
6672,公園で憩う,KHẾ (憩),こうえんでいこう,nghỉ ngơi trong công viên
6673,涙が伝う,TRUYỀN (伝),なみだがつたう,nước mắt ròng ròng
6674,準備が調う,ĐIỀU (調),じゅんびがととのう,việc chuẩn bị hoàn tất
6675,突然のことに戸惑う,HỘ HOẶC (戸惑),とつぜんのことにとまどう,lúng túng với việc xảy ra bất ngờ
6676,椅子を窺う,KHUY (窺),いすをうかがう,xem xét tình hình
6677,周りを囲う,VI (囲),まわりをかこう,"vây quanh, bao quanh"
6678,友人をかばう,TÍ (庇),ゆうじんをかばう,bênh vực bạn
6679,先を競う,CẠNH (競),さきをきそう,"cạnh tranh với người trước, so kè"
6680,パンチを食らう,THỰC (食),パンチをくらう,ăn/hứng chịu một cú đấm
6681,子供をさらう,-,こどもをさらう,bắt cóc con nít
6682,信用を損なう,TỔN (損),しんようをそこなう,đánh mất sự tín nhiệm
6683,場を繕う,THIỆN (繕),ばをつくろう,chắp vá
6684,協調性を培う,BỒI (培),きょうちょうせいをつちかう,nuôi dưỡng tinh thần hợp tác
6685,死者を弔う,ĐIẾU (弔),ししゃをとむらう,chôn cất người chết
6686,責任を担う,ĐẢM (担),せきにんをになう,gánh vác trách nhiệm
6687,汗を拭う,THỨC (拭),あせをぬぐう,lau mồ hôi
6688,部下を労う,LAO (労),ぶかをねぎらう,cảm ơn cấp dưới
6689,不運を呪う,CHÚ (呪),ふうんをのろう,oán trách sự bất hạnh
6690,雪が舞う,VŨ (舞),ゆきがまう,tuyết lất phất
6691,家計を賄う,HỐI (賄),かけいをまかなう,lo các khoản chi của gia Đình
6692,家族を養う,DƯỠNG (養),かぞくをやしなう,nuôi gia đình
6693,髪を結う,KẾT (結),かみをゆう,"vấn tóc, làm tóc"
6694,平静を装う,TRANG (装),へいせいをよそおう,làm ra vẻ bình tĩnh
6695,においが鼻をつく,ĐỘT (突),においがはなをつく,mùi xộc vào mũi
6696,信念を貫く,QUÁN (貫),しんねをつらぬく,giữ vững niềm tin
6697,水をはじく,ĐẠN (弾),みずをはじく,chống thấm nước
6698,畑に種をまく,-,はたけにたねをまく,rải hạt giống lên ruộng
6699,日が輝く,HUY (輝),ひがかがやく,mặt trời chiếu rọi
6700,空気が和らぐ,HÒA (和),くうきがやわらぐ,bầu không khí nhẹ nhõm
6701,夢を描く,MIÊU (描),ゆめをえがく,vẽ giấc mơ
6702,時間を稼ぐ,GIÁ (稼),じかんをかせぐ,chờ cơ hội tốt
6703,財産を築く,TRÚC (築),ざいさんをきずく,"làm giàu, làm ăn phát đạt"
6704,二つに裂く,LIỆT (裂),ふたつにさく,rách làm hai
6705,必要性を説く,THUYẾT (説),ひつようせいをとく,giải thích về sự cần thiết
6706,不幸を嘆く,THÁN (嘆),ふこうをなげく,than thở sự bất hạnh
6707,客を招く,CHIÊU (招),きゃくをまねく,mời mọc khách
6708,技を磨く,MA (磨),わざをみがく,rèn giũa kĩ năng
6709,傷が疼く,-,きずがうずく,vết thương đau nhói
6710,京都へ赴く,PHÓ (赴),きょうとへおもむく,lên đường đi Kyoto
6711,ソファーで寛ぐ,KHOAN (寛),ソファーでくつろぐ,thư giãn trên ghế so-fa
6712,後ろへ退く,THỐI (退),うしろへしりぞく,lui ra sau
6713,気が急く,CẤP (急),きがせく,khẩn trương
6714,親の教えに背く,BỐI (背),おやのおしえにそむく,làm trái lời dạy của cha mẹ
6715,小声で呟く,-,こごえでつザやく,thầm thì
6716,音が轟く,OANH (轟),おとえどろく,âm thanh vang như sấm
6717,飼い主に懐く,HOÀI (懐),かいぬしになつく,"thân thiết với chủ, bám lấy chủ"
6718,空に羽ばたく,VŨ (羽),そらにはばたく,xoải cánh trên bầu trời
6719,考えが閃く,THIỂM (閃),かんがえがひらめく,nảy ra suy nghĩ
6720,火を噴く,PHÚN (噴),ひをふく,nổi cơn tam bành
6721,光が瞬く,THUẤN (瞬),ひかりがまたたく,ánh sáng nhấp nháy
6722,気が安らぐ,AN (安),きがやすらぐ,cảm giác yên bình
6723,自信が揺らぐ,DAO (揺),じしんがゆらぐ,sự tự tin lung lay
6724,炎が揺らめく,DAO (揺),ほのおがゆらめく,ngọn lửa lập lòe
6725,天を仰ぐ,NGƯỠNG (仰),てんをあおぐ,ngước lên trời
6726,敵を欺く,KHI (欺),てきをあざむく,đánh lừa địch
6727,秘密を暴く,BẠO (暴),ひみつをあばく,làm lộ bí mật
6728,注意を欠く,KHIẾM (欠),ちゅういをかく,thiếu chú ý
6729,足を挫く,TỎA (挫),あしをくじく,"vẹo chân, làm bong gân chân"
6730,時間を割く,CÁT (割),じかんをさく,dành thời gian
6731,問題を捌く,-,もんだいをさばく,giải quyết vấn đề
6732,罪を裁く,TÀI (裁),つみをさばく,phán quyết tội danh
6733,急場を凌ぐ,LĂNG (凌),きゅうばをしのぐ,"vượt qua điểm yếu, khắc phục điểm yếu"
6734,跡を継ぐ,KẾ (継),あとをつぐ,"theo geơng ai, nối tiếp theo chân"
6735,糸を紡ぐ,PHƯỜNG (紡),いをつむぐ,"xe chỉ, quay tơ"
6736,挅丁を研ぐ,NGHIÊP (砰),ほうちょうをだぐ,mài dao
6737,生徒を導く,ĐẀO (導),せいとをみちンく,hướng dẫn học trò
