STT,漢字,音（漢越）,読み方,意味
7228,温厚,ÔN HẬU,おんこう,"hòa nhã, ôn hòa"
7229,温和,ÔN HÒA,おんわ,"ôn hòa (thời tiết, tính cách)"
7230,穏健,ỔN KIỆN,おんけん,"điều độ, tiết chế, không sa đà"
7231,寛容,KHOAN DUNG,かんよう,"khoan dung, độ lượng"
7232,活発,HOẠT PHÁT,かっぱつ,"hoạt bát, hoạt động sôi nổi"
7233,健全,KIỆN TOÀN,けんぜん,"khỏe mạnh, tráng kiện, lành mạnh"
7234,勤勉,CẦN MIỄN,きんべん,cần mẫn
7235,謙虚,KHIÊM HƯ,けんきょ,"khiêm tốn, nhún nhường"
7236,従順,TÙNG THUẬN,じゅうじゅん,"phục tùng, dễ bảo, vâng lời"
7237,清純,THANH THUẦN,せいじゅん,ngây thơ trong trắng
7238,頑固,NGOAN CỐ,がんこ,"cứng đầu, bướng bỉnh, bảo thủ"
7239,強情,CƯỜNG TÌNH,ごうじょう,"bướng bỉnh, bảo thủ, cố chấp"
7240,傲慢,NGẠO MẠN,ごうまん,"ngạo mạn, tự cao"
7241,短期,ĐOẢN KỲ,たんき,thời gian ngắn
7242,残酷,TÀN KHỐC,ざんこく,tàn khốc
7243,残虐,TÀN NGƯỢC,ざんぎゃく,"tàn bạo, hung ác"
7244,冷酷,LÃNH KHỐC,れいこく,"lạnh lùng, nhẫn tâm, máu lạnh"
7245,冷淡,LÃNH ĐẠM,れいたん,"lãnh đạm, không nhiệt tình, không quan tâm"
7246,薄情,BẠC TÌNH,はくじょう,"vô tâm, lạnh nhạt"
7247,狡猾,GIẢO HOẠT,こうかつ,"xảo trá, gian manh"
7248,怠惰,ĐÃI NỌA,たいだ,lười nhác
7249,野蛮,DÃ MAN,やばん,"không văn minh, dã man, suồng sã"
7250,悪質,ÁC CHẤT,あくしつ,"xấu xa, tàn ác"
7251,険悪,HIỂM ÁC,けんあく,"hiểm ác, có điềm xấu"
7252,邪悪,TÀ ÁC,じゃあく,"tà ác, xấu xa"
7253,醜悪,XÚ ÁC,しゅうあく,"đáng khinh, ghê tởm"
7254,劣悪,LIỆT ÁC,れつあく,"tồi tệ, thấp kém"
7255,凶悪,HUNG ÁC,きょうあく,"hung ác, tàn nhẫn, nhẫn tâm"
7256,凶暴,HUNG BẠO,きょうぼう,hung bạo
7257,卑劣,TI LIỆT,ひれつ,"bần tiện, đớn hèn, đểu giả"
7258,陰気,ÂM KHÍ,いんき,"tối tăm, ưu sầu"
7259,陰険,ÂM HIỂM,いんけん,"quỷ quyệt, ngấm ngầm, ám muội"
7260,陰湿,ÂM THẤP,いんしつ,"ẩm thấp, mờ ám"
7261,勇敢⇔臆病,DŨNG CẢM ⇔ ỨC BỆNH,ゆうかん⇔おくびょう,dũng cảm ⇔ nhút nhát
7262,敏感⇔鈍感,MẪN CẢM ⇔ ĐỘN CẢM,びんかん⇔どんかん,mẫn cảm ⇔ đần thộn
7263,雄弁⇔寡黙,HÙNG BIỆN ⇔ QUẢ MẶC,ゆうべん⇔かもく,hùng biện ⇔ trầm mặc
7264,平凡⇔非凡,BÌNH PHÀM ⇔ PHI PHÀM,へいぼん⇔ひぼん,bình thường ⇔ phi thường
7265,遺憾,DI HÁM,いかん,đáng tiếc
7266,一様,NHẤT DẠNG,いちよう,"một kiểu như nhau, bình thường"
7267,婉曲,UYỂN KHÚC,えんきょく,vòng vo
7268,旺盛,VƯỢNG THỊNH,おうせい,"mạnh khỏe, mãnh liệt, đầy sinh lực"
7269,果敢,QUẢ CẢM,かかん,"quả cảm, gan dạ"
7270,格別,CÁCH BIỆT,かくべつ,"riêng biệt, khác thường, đặc biệt"
7271,完璧,HOÀN BÍCH,かんぺき,hoàn hảo
7272,華奢,HOA XA,きゃしゃ,"xinh xắn, mảnh mai, không vững chãi"
7273,窮屈,CÙNG KHUẤT,きゅうくつ,"chật chội, gò bó, eo hẹp, mệt mỏi"
7274,極端,CỰC ĐOAN,きょくたん,"cực đoan, tột độ"
7275,堅固,KIÊN CỐ,けんご,"rắn chắc, ý chí mạnh mẽ"
7276,幸運,HẠNH VẬN,こううん,may mắn
7277,光栄,QUANG VINH,こうえい,"quang vinh, vinh dự"
7278,好調,HẢO ĐIỀU,こうちょう,"tình trạng tốt, điều kiện thuận lợi"
7279,滑稽,HOẠT KÊ,こっけい,"buồn cười, hoạt kê"
7280,孤独,CÔ ĐỘC,こどく,cô độc
7281,古風,CỔ PHONG,こふう,"cổ xưa, thơ cổ"
7282,斬新,TRẢM TÂN,ざんしん,"độc đáo, có một không hai, chưa từng có"
7283,自在,TỰ TẠI,じざい,tự tại
7284,執拗,CHẤP AO,しつよう,"nài nỉ, dai dẳng, gan lì"
7285,周到,CHU ĐÁO,しゅうとう,"chu đáo, cẩn thận kĩ lưỡng"
7286,柔軟,NHU NHUYỄN,じゅうなん,"mềm dẻo, linh hoạt"
7287,神聖,THẦN THÁNH,しんせい,"linh thiêng, thần thánh"
7288,辛辣,TÂN LẠT,しんらつ,"gay gắt, khắt khe"
7289,正常,CHÍNH THƯỜNG,せいじょう,trạng thái bình thường
7290,正当,CHÍNH ĐƯƠNG,せいとう,"chính đáng, xứng đáng"
7291,壮絶,TRÁNG TUYỆT,そうぜつ,"ác liệt, dữ dội"
7292,達者,ĐẠT GIẢ,たっしゃ,"giỏi, nhuần nhuyễn"
7293,達筆,ĐẠT BÚT,たっぴつ,"viết chữ đẹp, bút pháp, viết chắc tay"
7294,端正,ĐOAN CHÍNH,たんせい,"đoan chính, đoan trang"
7295,陳腐,TRẦN HỦ,ちんぷ,"tầm thường, vô vị, xàm xí"
7296,特殊,ĐẶC THÙ,とくしゅ,đặc thù
7297,貪欲,THAM DỤC,どんよく,tham lam
7298,難解,NAN GIẢI,なんかい,"nan giải, khó hiểu"
7299,悲惨,BI THẢM,ひさん,bi thảm
7300,頻繁,TẦN PHỒN,ひんぱん,"tấp nập, tần suất dày đặc"
7301,平穏,BÌNH ỔN,へいおん,"êm đềm, yên ả"
7302,辺鄙,BIÊN BỈ,へんぴ,"xa xôi, hẻo lánh"
7303,名誉,DANH DỰ,めいよ,danh dự
7304,面倒,DIỆN ĐẢO,めんどう,phiền phức
7305,憂鬱,ƯU UẤT,ゆううつ,"ưu sầu, ủ dột, u ám"
7306,露骨,LỘ CỐT,ろこつ,"thể hiện ra bên ngoài, (ghét) ra mặt"
7307,迅速⇔緩慢,TẤN TỐC ⇔ HOÃN MẠN,じんそく⇔かんまん,mau lẹ ⇔ ì ạch
7308,懇意⇔疎遠,KHẨN Ý ⇔ SƠ VIỄN,こんい⇔そえん,thân tình ⇔ lạnh nhạt
7309,重厚⇔軽薄,TRỌNG HẬU ⇔ KHINH BẠC,じゅうこう⇔けいはく,trịnh trọng ⇔ hời hợt
7310,濃厚⇔希薄,NÙNG HẬU ⇔ HY BẠC,のうこう⇔きはく,nồng nhiệt ⇔ nhạt nhẽo
7311,貧乏⇔裕福,BẦN PHẠP ⇔ DỤ PHÚC,びんぼう⇔ゆうふく,nghèo nàn ⇔ dư dả
7312,内気,NỘI KHÍ,うちき,"rụt rè, nhút nhát, bẽn lẽn"
7313,弱気,NHƯỢC KHÍ,よわき,"sợ sệt, nhút nhát, đầu cơ giá hạ (chứng khoán)"
7314,気長,KHÍ TRƯỜNG,きなが,kiên nhẫn
7315,気軽,KHÍ KHINH,きがる,"thoải mái, vô tư"
7316,気弱,KHÍ NHƯỢC,きよわ,"rụt rè, bẽn lẽn, ngượng ngùng"
7317,手薄,THỦ BẠC,てうす,"thiếu nhân lực, ít (tiền, của)"
7318,手軽,THỦ KHINH,てがる,"không tốn nhiều thời gian, dễ dàng tiện lợi"
7319,手近,THỦ CẬN,てぢか,"gần gũi, trong tầm tay"
7320,手頃,THỦ KHOẢNH,てごろ,"(giá) phải chăng, vừa tay, vừa sức"
7321,身近,THÂN CẬN,みぢか,"ở gần, thân quen"
7322,身軽,THÂN KHINH,みがる,"nhẹ nhàng, thanh thoát"
7323,割高,CÁT CAO,わりだか,tương đối mắc
7324,割安,CÁT AN,わりやす,tương đối rẻ
7325,大幅,ĐẠI BỨC,おおはば,phạm vi rộng
7326,半端,BÁN ĐOAN,はんぱ,nửa chừng
7327,無口,VÔ KHẨU,むくち,"trầm lặng, ít nói"
7328,大柄⇔小柄,ĐẠI BỈNH ⇔ TIỂU BỈNH,おおがら⇔こがら,tầm vóc lớn ⇔ tầm vóc nhỏ
7329,派手⇔地味,PHÁI THỦ ⇔ ĐỊA VỊ,はで⇔じみ,sặc sỡ ⇔ giản dị
7330,粋⇔野暮,TÚY ⇔ DÃ MỘ,いき⇔やぼ,bảnh bao ⇔ cục mịch
7331,圧倒的,ÁP ĐẢO ĐÍCH,あっとうてき,áp đảo
7332,画期的,HỌA KỲ ĐÍCH,かっきてき,mang tính bước ngoặt
7333,規範的,QUY PHẠM ĐÍCH,きはんてき,mang tính quy phạm
7334,精力的,TINH LỰC ĐÍCH,せいりょくてき,tràn đầy sinh lực
7335,本格的,BỔN CÁCH ĐÍCH,ほんかくてき,"đích thị, chính cống"
7336,楽観的,LẠC QUAN ĐÍCH,らっかんてき,lạc quan
7337,理性的,LÝ TÍNH ĐÍCH,りせいてき,có lý trí
7338,革新的⇔保守的,CÁCH TÂN ĐÍCH ⇔ BẢO THỦ ĐÍCH,かくしんてき⇔ほしゅてき,mang tính cách mạng ⇔ bảo thủ
7339,主観的⇔客観的,CHỦ QUAN ĐÍCH ⇔ KHÁCH QUAN ĐÍCH,しゅかんてき⇔きゃっかんてき,chủ quan ⇔ khách quan
7340,能動的⇔受動的,NĂNG ĐỘNG ĐÍCH ⇔ THỤ ĐỘNG ĐÍCH,のうどうてき⇔じゅどうてき,năng động ⇔ bị động
7341,楽観的⇔悲観的,LẠC QUAN ĐÍCH ⇔ BI QUAN ĐÍCH,らっかんてき⇔ひかんてき,lạc quan ⇔ bi quan
7342,社交的⇔外交的⇔内向的,XÃ GIAO ĐÍCH ⇔ NGOẠI GIAO ĐÍCH ⇔ NỘI HƯỚNG ĐÍCH,しゃこうてき⇔がいこうてき⇔ないこうてき,"chan hòa, hòa đồng ⇔ hướng nội, khép mình"
7343,具体的⇔抽象的,CỤ THỂ ĐÍCH ⇔ TRỪU TƯỢNG ĐÍCH,ぐたいてき⇔ちゅうしょうてき,cụ thể ⇔ trừu tượng
7344,精神的⇔物質的,TINH THẦN ĐÍCH ⇔ VẬT CHẤT ĐÍCH,せいしんてき⇔ぶっしつてき,tinh thần ⇔ vật chất
7345,観念的⇔物理的,QUAN NIỆM ĐÍCH ⇔ VẬT LÝ ĐÍCH,かんねんてき,thuộc quan niệm ⇔ thuộc tự nhiên
7346,偶発的⇔必然的,NGẪU PHÁT ĐÍCH ⇔ TẤT NHIÊN ĐÍCH,ぐうはつてき⇔ひつぜんてき,ngẫu nhiên ⇔ chắc chắn xảy ra
7347,理想的⇔現実的,LÝ TƯỞNG ĐÍCH ⇔ HIỆN THỰC ĐÍCH,りそうてき⇔げんじつてき,lý tưởng ⇔ hiện thực
7348,規則的⇔変則的,QUY TẮC ĐÍCH ⇔ BIẾN TẮC ĐÍCH,きそくてき⇔へんそくてき,đều đặn ⇔ thất thường
7349,開放的⇔閉鎖的,KHAI PHÓNG ĐÍCH ⇔ BẾ TỎA ĐÍCH,かいほうてき⇔へいさてき,"cởi mở, phóng khoáng ⇔ khép kín"
7350,直接的⇔間接的,TRỰC TIẾP ĐÍCH ⇔ GIAN TIẾP ĐÍCH,ちょくせつてき⇔かんせつてき,trực tiếp ⇔ gián tiếp
7351,親孝行,THÂN HIẾU HÀNH,おやこうこう,hiếu thảo
7352,親不孝,THÂN BẤT HIẾU,おやふこう,bất hiếu
7353,過保護,QUÁ BẢO HỘ,かほご,"chở che quá mức, nuông chiều"
7354,几帳面,KỶ TRƯỚNG DIỆN,きちょうめん,"gọn gàng, ngăn nắp"
7355,口下手,KHẨU HẠ THỦ,くちべた,dở ăn nói
7356,好都合,HẢO ĐÔ HỢP,こうつごう,thuận lợi
7357,広範囲,QUẢNG PHẠM VI,こうはんい,phạm vi rộng
7358,上機嫌,THƯỢNG CƠ HIỀM,じょうきげん,tâm trạng hân hoan
7359,上出来,THƯỢNG XUẤT LAI,じょうでき,hoàn thành tốt
7360,神経質,THẦN KINH CHẤT,しんけいしつ,"dễ bị kích thích, bực dọc"
7361,大規模,ĐẠI QUY MÔ,だいきぼ,quy mô lớn
7362,生半可,SINH BÁN KHẢ,なまはんか,"dở dở ương ương, không đến nơi đến chốn"
7363,寝不足,TẨM BẤT TÚC,ねぶそく,thiếu ngủ
7364,非常識,PHI THƯỜNG THỨC,ひじょうしき,vô ý thức
7365,身勝手,THÂN THẮNG THỦ,みがって,"ích kỉ, chỉ nghĩ đến bản thân"
7366,有意義,HỮU Ý NGHĨA,ゆういぎ,có ý nghĩa
7367,理不尽,LÝ BẤT TẬN,りふじん,quá đáng
7368,両極端,LƯỠNG CỰC ĐOAN,りょうきょくたん,"hoàn toàn trái ngược nhau, đối lập nhau"
7369,心強い,TÂM CƯỜNG,こころづよい,"làm yên lòng, làm vững dạ"
7370,心細い,TÂM TẾ,こころぼそい,"cô đơn, bất an"
7371,手厚い,THỦ HẬU,てあつい,"lịch sự, mến khách"
7372,手洗い,THỦ TẨY,てあらい,"rửa tay, toa-lét, giặt tay"
7373,手痛い,THỦ THỐNG,ていたい,"nhức nhói, nghiêm trọng"
7374,手堅い,THỦ KIÊN,てがたい,"cứng rắn, kiên quyết, không nhân nhượng"
7375,手厳しい,THỦ NGHIÊM,てきびしい,"không nương tay, không dung thứ"
7376,手ごわい,THỦ,てごわい,"khó đánh bại, bền bỉ"
7377,手っ取り早い,THỦ THỦ TẢO,てっとりばやい,"giản lược, nhanh nhẹn"
7378,手早い,THỦ TẢO,てばやい,nhanh nhẹn
7379,きまりわるい,-,きまりわるい,lúng túng ngượng ngùng
7380,素早い,TỐ TẢO,すばやい,nhanh nhẹn
7381,名高い,DANH CAO,なだかい,"nổi tiếng, nổi danh"
7382,生ぬるい,SINH (生),なまぬるい,"âm ấm, mơ hồ, không rõ ràng"
7383,遠慮深い,VIỄN LỰ THÂM,えんりょぶかい,"dè dặt, khách sáo"
7384,奥深い,ÁO THÂM,おくぶかい,sâu thẳm
7385,執念深い,CHẤP NIỆM THÂM,しゅうねんぶかい,"lằng nhằng, thù hằn, không khoan dung"
7386,慎み深い,THẬN THÂM,つつしみぶかい,"thận trọng, dè dặt"
7387,罪深い,TỘI THÂM,つみぶかい,đầy tội lỗi
7388,情け深い,TÌNH THÂM,なさけぶかい,cảm thông sâu sắc
7389,根深い,CĂN THÂM,ねぶかい,"bám rễ sâu, lằng nhằng"
7390,用心深い,DỤNG TÂM THÂM,ようじんぶかい,cẩn thận
7391,欲深い,DỤC THÂM,よくぶかい,"ham muốn, tham lam"
7392,我慢強い,NGÃ MẠN CƯỜNG,がまんづよい,chịu đựng giỏi
7393,辛抱強い,TÂN BÃO CƯỜNG,しんぼうづよい,giỏi chịu đựng
7394,根強い,CĂN CƯỜNG,ねづよい,"bén rễ sâu, lằng nhằng, ổn định về kinh tế"
7395,粘り強い,NIÊM CƯỜNG,ねばりづよい,dính chặt
7396,うさんくさい,-,うさんくさい,"nghi ngờ có âm mưu, ám muội, khả nghi"
7397,焦げくさい,TIÊU (焦),こげくさい,có mùi khét
7398,照れくさい,CHIẾU (照),てれくさい,"mắc cỡ, ngượng nghịu"
7399,古くさい,CỔ (古),ふるくさい,"lỗi thời, hết mốt"
7400,水くさい,THỦY (水),みずくさい,"xa cách, nhạt nhẽo"
