STT,漢字,音（漢越）,読み方,意味
1731,貴重,QUÝ TRỌNG,きちょう,"quý giá, rất quan trọng"
1732,著名,TRỨ DANH,ちょめい,"trứ danh, nổi tiếng"
1733,悲惨,BI THẢM,ひさん,bi thảm
1734,微妙,VI DIỆU,びみょう,"tinh tế, khó diễn tả, nhạy cảm"
1735,不利,BẤT LỢI,ふり,bất lợi
1737,過密,QUÁ MẬT,かみつ,"đông đúc, mật độ cao"
1738,孤独,CÔ ĐỘC,こどく,cô độc
1739,素朴,TỐ PHÁC,そぼく,"mộc mạc, giản dị, đơn sơ"
1740,多忙,ĐA MANG,たぼう,"bận rộn, đa mang"
1741,不吉,BẤT CÁT,ふきつ,"không may, chẳng lành"
1742,不審,BẤT THẨM,ふしん,"hoài nghi, nghi hoặc"
1743,不調,BẤT ĐIỀU,ふちょう,"hỏng hóc, trục trặc"
1744,不評,BẤT BÌNH,ふひょう,"mang tiếng xấu, không được đánh giá tốt"
1746,無念,VÔ NIỆM,むねん,"phiền muộn, buồn chán"
1747,無能,VÔ NĂNG,むのう,"bất tài, không có năng lực"
1748,遺憾,DI HÁM,いかん,đáng tiếc
1749,過激,QUÁ KHÍCH,かげき,"quá khích, cực đoan"
1750,過酷,QUÁ KHỐC,かこく,"quá khốc liệt, quá tàn khốc"
1751,過敏,QUÁ MẪN,かびん,"quá nhạy cảm, dễ kích ứng"
1752,寡黙,QUẢ MẶC,かもく,"trầm lặng, ít nói"
1753,希薄,HI BẠC,きはく,"nhạt, loãng (chất lỏng, chất khí), nghèo nàn (nội dung)"
1754,機敏,CƠ MẪN,きびん,"nhanh nhạy, lanh lợi"
1755,邪悪,TÀ ÁC,じゃあく,"tà ác, xấu xa"
1756,疎遠,SƠ VIỄN,そえん,"lạnh nhạt (mối quan hệ), xa lạ"
1757,稚拙,TRĨ CHUYẾT,ちせつ,"kém cỏi, chưa thành thục"
1758,緻密,TRÍ MẬT,ちみつ,"tỉ mỉ, tận tường, kĩ lưỡng, tinh vi"
1759,卑劣,TI LIỆT,ひれつ,"bần tiện, đớn hèn, đểu giả"
1760,不遇,BẤT NGỘ,ふぐう,"kém may mắn, xui rủi"
1761,不純,BẤT THUẦN,ふじゅん,"không thuần khiết, không trong sạch"
1762,不備,BẤT BỊ,ふび,"không đầy đủ, chưa hoàn chỉnh"
1763,不滅,BẤT DIỆT,ふめつ,"vĩnh cửu, bất diệt"
1764,無益,VÔ ÍCH,むえき,vô ích
1765,無残,VÔ TÀN,むざん,"tàn khốc, tàn ác"
1766,無謀,VÔ MƯU,むぼう,"khinh suất, thiếu suy tính, ẩu tả"
1767,無欲,VÔ DỤC,むよく,không ham muốn
1768,野蛮,DÃ MAN,やばん,"không văn minh, dã man, suồng sã"
1770,温厚,ÔN HẬU,おんこう,"hòa nhã, ôn hòa"
1771,簡潔,GIẢN KHIẾT,かんけつ,"giản dị, súc tích, mộc mạc"
1772,頑丈,NGOAN TRƯỢNG,がんじょう,"cứng cáp, khỏe mạnh"
1773,肝心,CAN TÂM,かんじん,"đặc biệt quan trọng, rất quan trọng"
1774,寛容,KHOAN DUNG,かんよう,"khoan dung, độ lượng"
1775,謙虚,KHIÊM HƯ,けんきょ,"khiêm tốn, nhún nhường"
1776,賢明,HIỀN MINH,けんめい,khôn ngoan
1777,迅速,TẤN TỐC,じんそく,"mau lẹ, nhanh chóng"
1778,慎重,THẬN TRỌNG,しんちょう,thận trọng
1780,貧弱,BẦN NHƯỢC,ひんじゃく,"yếu ớt, nghèo nàn"
1781,陰気,ÂM KHÍ,いんき,"tối tăm, ưu sầu"
1782,婉曲,UYỂN KHÚC,えんきょく,vòng vo
1783,簡易,GIẢN DỊ,かんい,đơn giản
1784,簡素,GIẢN TỐ,かんそ,"giản dị, mộc mạc, chân phương"
1786,勤勉,CẦN MIỄN,きんべん,cần mẫn
1787,残酷,TÀN KHỐC,ざんこく,tàn khốc
1788,単調,ĐƠN ĐIỀU,たんちょう,"đơn điệu, tẻ nhạt"
1789,鈍感,ĐỘN CẢM,どんかん,"kém nhạy bén, đần thộn, không tinh"
1790,貧困,BẦN KHỐN,ひんこん,nghèo khó
1791,貧乏,BẦN PHẠP,びんぼう,nghèo nàn
1792,閑静,NHÀN TĨNH,かんせい,"yên ắng, yên ả"
1793,寛大,KHOAN ĐẠI,かんだい,"hào hiệp, bao dung, cảm thông"
1794,緩慢,HOÃN MẠN,かんまん,"ì ạch, uể oải, trì trệ"
1795,肝要,CAN YẾU,かんよう,rất quan trọng
1796,簡略,GIẢN LƯỢC,かんりゃく,giản lược
1797,均等,QUÂN ĐẲNG,きんとう,"cân đối, cân bằng"
1798,厳格,NGHIÊM CÁCH,げんかく,"nghiêm ngặt, khắt khe"
1799,堅実,KIÊN THỰC,けんじつ,"bền vững, chắc chắn"
1800,顕著,HIỂN TRỨ,けんちょ,"đáng kể, nổi bật, đáng chú ý"
1801,斬新,TRẢM TÂN,ざんしん,"độc đáo, có một không hai, chưa từng có"
1802,純潔,THUẦN KHIẾT,じゅんけつ,"thuần khiết, trinh trắng"
1803,俊敏,TUẤN MẪN,しゅんびん,"nhanh trí, nhạy bén"
1804,甚大,THẬM ĐẠI,じんだい,"khổng lồ, to lớn"
1805,繊細,TIÊM TẾ,せんさい,"thon gọn, tinh tế, tinh xảo"
1806,鮮明,TIÊN MINH,せんめい,"rực rỡ, tươi sáng"
1807,存分,TỒN PHÂN,ぞんぶん,"theo ý nghĩ, tùy thích"
1808,端正,ĐOAN CHÍNH,たんせい,"đoan chính, đoan trang"
1809,丹念,ĐAN NIỆM,たんねん,"cẩn trọng, chú ý đến những cái nhỏ nhặt"
1810,貪欲,THAM DỤC,どんよく,tham lam
1811,難解,NAN GIẢI,なんかい,"nan giải, khó hiểu"
1812,軟弱,NHUYỄN NHƯỢC,なんじゃく,"mềm yếu, nhu nhược"
1813,煩雑,PHIỀN TẠP,はんざつ,"phiền phức, rối rắm"
1814,敏捷,MẪN TIỆP,びんしょう,"lanh lẹ, nhanh nhẹn"
1815,綿密,MIÊN MẬT,めんみつ,"chi tiết, tường tận, kĩ lưỡng"
1816,窮屈,CÙNG KHUẤT,きゅうくつ,"chật chội, gò bó, eo hẹp, mệt mỏi"
1817,幸運,HẠNH VẬN,こううん,may mắn
1818,巧妙,XẢO DIỆU,こうみょう,khéo léo
1819,柔軟,NHU NHUYỄN,じゅうなん,"mềm dẻo, linh hoạt"
1820,壮大,TRÁNG ĐẠI,そうだい,"tráng lệ, hùng vĩ"
1822,重宝,TRỌNG BẢO,ちょうほう,"tiện lợi, trân quý"
1823,膨大,BÀNH ĐẠI,ぼうだい,"khổng lồ, to lớn"
1824,豊富,PHONG PHÚ,ほうふ,phong phú
1825,猛烈,MÃNH LIỆT,もうれつ,mãnh liệt
1826,勇敢,DŨNG CẢM,ゆうかん,"can đảm, dũng cảm"
1828,容易,DUNG DỊ,ようい,"đơn giản, dễ dàng"
1829,強硬,CƯỜNG NGẠNH,きょうこう,"cứng rắn, kiên quyết, không thỏa hiệp"
1830,強烈,CƯỜNG LIỆT,きょうれつ,"quyết liệt, mạnh mẽ"
1831,好評,HẢO BÌNH,こうひょう,đánh giá tốt
1832,詳細,TƯỜNG TẾ,しょうさい,"tường tận, chi tiết"
1833,早急,TẢO CẤP,そうきゅう／さっきゅう,"vội vàng, khẩn trương"
1834,痛切,THỐNG THIẾT,つうせつ,thống thiết
1835,憂鬱,ƯU UẤT,ゆううつ,"ưu sầu, ủ dột, u ám"
1836,有益,HỮU ÍCH,ゆうえき,"có ích, có lợi"
1837,優勢,ƯU THẾ,ゆうせい,ưu thế
1838,有力,HỮU LỰC,ゆうりょく,"có thế lực, có khả năng cao"
1839,良好,LƯƠNG HẢO,りょうこう,"tình trạng tốt, thành tích tốt"
1840,良質,LƯƠNG CHẤT,りょうしつ,chất lượng tốt
1841,旺盛,VƯỢNG THỊNH,おうせい,"mạnh khỏe, mãnh liệt, đầy sinh lực"
1842,凶悪,HUNG ÁC,きょうあく,"hung ác, tàn nhẫn, nhẫn tâm"
1843,脅威,HIẾP UY,きょうい,"uy hiếp, hiếp đáp, đe dọa"
1844,凶暴,HUNG BẠO,きょうぼう,hung bạo
1845,空虚,KHÔNG HƯ,くうきょ,"trống rỗng, rỗng tuếch, vắng hoe"
1847,豪快,HÀO KHOÁI,ごうかい,"hào sảng, khoái chí"
1848,狡猾,GIẢO HOẠT,こうかつ,"xảo trá, gian manh"
1849,強情,CƯỜNG TÌNH,ごうじょう,"bướng bỉnh, bảo thủ, cố chấp"
1850,傲慢,NGẠO MẠN,ごうまん,"ngạo mạn, tự cao"
1851,醜悪,XÚ ÁC,しゅうあく,"đáng khinh, ghê tởm"
1852,重厚,TRỌNG HẬU,じゅうこう,"nặng nề, trịnh trọng"
1853,従順,TÙNG THUẬN,じゅうじゅん,"phục tùng, dễ bảo, vâng lời"
1854,崇高,SÙNG CAO,すうこう,"cao cả, hùng vĩ, uy nghiêm"
1855,爽快,SẢNG KHOÁI,そうかい,sảng khoái
1856,荘厳,TRANG NGHIÊM,そうごん,"trang nghiêm, long trọng"
1857,早熟,TẢO THỤC,そうじゅく,"phát triển sớm, chín sớm (trái cây)"
1858,聡明,THÔNG MINH,そうめい,"anh minh, sáng suốt"
1859,痛烈,THỐNG LIỆT,つうれつ,gay gắt (công kích)
1860,唐突,ĐƯỜNG ĐỘT,とうとつ,đường đột
1861,濃厚,NỒNG HẬU,のうこう,"nồng hậu, đậm (màu, vị), nồng thắm (tình yêu)"
1862,優雅,ƯU NHÃ,ゆうが,"thanh lịch, tao nhã"
1863,裕福,DỤ PHÚC,ゆうふく,"dư dả, sung túc"
1864,雄弁,HÙNG BIỆN,ゆうべん,hùng hồn
1865,軽率,KHINH SUẤT,けいそつ,khinh suất
1866,精巧,TINH XẢO,せいこう,tinh xảo
1867,正常,CHÍNH THƯỜNG,せいじょう,trạng thái bình thường
1868,盛大,THỊNH ĐẠI,せいだい,"trọng thể, long trọng"
1870,特殊,ĐẶC THÙ,とくしゅ,đặc thù
1871,質素,CHẤT TỐ,しっそ,"giản dị, đơn sơ, mộc mạc"
1872,切実,THIẾT THỰC,せつじつ,"thích hợp, nghiêm trọng, sâu sắc"
1874,清純,THANH THUẦN,せいじゅん,ngây thơ trong trắng
