STT,漢字,音（漢越）,読み方,意味
2518,駆ける,KHU,かける,"chạy nhanh, phi nước đại"
2522,告げる,CÁO,つげる,"báo cáo, thông báo"
2523,遂げる,TOẠI,とげる,đạt được
2525,隔てる,CÁCH,へだてる,"ngăn chia, cách biệt"
2527,裂ける,LIỆT,さける,"bị xé, bị rách"
2528,退ける,THỐI,しりぞける,"bác bỏ, loại ra"
2529,惚ける,HỐT,とぼける,lẩn thẩn
2531,剥げる,BÁC,はげる,"làm bong ra, phai màu"
2534,掲げる,YẾT,かかげる,treo
2535,賭ける,ĐỔ,かける,"cá độ, đặt cược"
2536,傾げる,KHUYNH,かしげる,"cúi, nghiêng"
2537,提げる,ĐỀ,さげる,"mang theo, cầm theo"
2538,捧げる,BỔNG,ささげる,"giương lên, giơ cao, trình lên"
2539,授ける,THỤ,さずける,tặng cho
2540,虐げる,NGƯỢC,しいたげる,"đàn áp, áp bức"
2542,和らげる,HÒA,やわらげる,làm dịu đi
2544,宛てる,UYỂN,あてる,"gửi, để địa chỉ, viết cho"
2545,透ける,THẤU,すける,xuyên thấu
2546,果てる,QUẢ,はてる,"kết thúc, dốc hết"
2548,破ける,PHÁ,やぶける,rách
2549,空ける,KHÔNG,あける,"làm cạn, để trống"
2550,奏でる,TẤU,かなでる,chơi (nhạc cụ)
2551,企てる,XÍ,くわだてる,lên kế hoạch
2553,背ける,BỐI,そむける,"quay lưng, ngoảnh đi"
2554,束ねる,THÚC,たばねる,buộc thành bó
2555,伏せる,PHỤC,ふせる,"nằm thấp xuống, nhìn xuống"
2556,納める,NẠP,おさめる,"nộp, thu vào"
2557,極める,CỰC,きわめる,"rèn luyện, cố gắng đến cùng"
2558,込める,(込: quốc tự),こめる,"dồn, nạp (đạn)"
2559,締める,ĐẾ,しめる,"buộc, vặn chặt"
2560,勧める,KHUYẾN,すすめる,"khuyến khích, khuyên"
2561,眺める,THIẾU,ながめる,"nhìn, ngắm"
2563,辞める,TỪ,やめる,nghỉ làm
2564,傷める,THƯƠNG,いためる,"làm bị thương, làm tổn thương"
2565,炒める,SAO,いためる,xào
2566,埋める,MAI,うずめる,chôn lấp
2567,固める,CỐ,かためる,"làm chắc, làm cứng lại"
2568,沈める,TRẦM,しずめる,"chìm, làm đắm"
2569,止める,CHỈ,とどめる,"dừng lại, chặn lại"
2570,緩める,HOÃN,ゆるめる,nới lỏng
2571,戒める,GIỚI,いましめる,"cảnh báo, nhắc nhở"
2572,修める,TU,おさめる,trau dồi kiến thức
2573,究める,CỨU,きわめる,"tinh thông, thành thạo"
2574,絞める,GIẢO,しめる,bóp chặt
2575,秘める,BÍ,ひめる,"giấu kín, che đậy"
2576,衰える,SUY,おとろえる,suy yếu
2578,与える,DỮ,あたえる,"gây ra, cho"
2580,支える,CHI,ささえる,"nâng đỡ, duy trì"
2581,添える,THIÊM,そえる,"thêm vào, đính kèm"
2583,怯える,KHIẾP,おびえる,"sợ hãi, khiếp sợ"
2584,冴える,NGA,さえる,"tỉnh táo, trong trẻo"
2586,絶える,TUYỆT,たえる,tuyệt chủng
2587,仕える,SĨ,つかえる,"phục vụ, phụng sự"
2588,映える,ÁNH,はえる,chiếu sáng
2589,構える,CẤU,かまえる,"lập nên, xây dựng"
2590,鍛える,ĐOÀN,きたえる,trui rèn
2591,据える,CỨ,すえる,quyết bổ nhiệm
2592,整える,CHỈNH,ととのえる,"chuẩn bị, điều chỉnh"
2593,唱える,XƯỚNG,となえる,"tụng, xướng"
2594,踏まえる,ĐẠP,ふまえる,"dựa trên, xét đến"
2595,癒える,DŨ,いえる,"lành (vết thương), khỏi (bệnh)"
2596,肥える,PHÌ,こえる,"béo, màu mỡ"
2597,応える,ỨNG,こたえる,"đáp lại, trả lời"
2598,抑える,ỨC,おさえる,"kiềm nén, kiềm chế"
2599,堪える,KHAM,こたえる,chịu đựng
2600,供える,CUNG,そなえる,cúng
2601,携える,HUỀ,たずさえる,"mang, xách, cầm"
2602,称える,XƯNG,たたえる,"tán dương, ca tụng"
2603,暴れる,BẠO,あばれる,"nổi giận, làm ầm ĩ"
2605,崩れる,BĂNG,くずれる,"sụp đổ, hư hại"
2606,訪れる,PHỎNG,おとずれる,"ghé thăm, viếng thăm"
2607,逃れる,ĐÀO,のがれる,trốn chạy
2609,廃れる,PHẾ,すたれる,"lỗi thời, suy yếu"
2610,垂れる,THÙY,たれる,"treo rủ, chảy nhỏ giọt"
2611,紛れる,PHÂN,まぎれる,bị phân tâm
2612,乱れる,LOẠN,みだれる,"lộn xộn, rối loạn"
2613,漏れる,LẬU,もれる,"rò rỉ, lộ ra"
2614,免れる,MIỄN,まぬがれる,"tránh, tránh được"
2615,熟れる,THỤC,うれる,chín (trái cây)
2616,汚れる,Ô,けがれる,"bị dơ, nhơ bẩn"
2617,戯れる,HÍ,たわむれる,"lêu lổng, ham chơi"
2618,照れる,CHIẾU,てれる,"soi rọi, rụt rè, ngượng"
2619,群れる,QUẦN,むれる,tụ tập
2620,蒸れる,CHƯNG,むれる,"chưng, hấp, hầm bí"
2621,敗れる,BẠI,やぶれる,thua
2622,陥れる,HÃM,おとしいれる,"dụ dỗ, gài bẫy"
