STT,漢字,音（漢越）,読み方,意味
6429,気が焦る,TIÊU (焦),きがあせる,"nôn nóng, sốt ruột"
6430,目に余る,DƯ (余),めにあまる,"rành rành, không thể bỏ qua"
6431,現在に至る,CHÍ (至),げんざいにいたる,đến thời điểm hiện tại
6432,敵に劣る,LIỆT (劣),てきにおとる,yếu hơn địch
6433,荷物がかさばる,-,にもつがかさばる,hàng hóa cồng kềnh
6434,栄養が偏る,THIÊN (偏),えいようがかたよる,dinh dưỡng mất cân đối
6435,やり方にこだわる,-,やりかたにこだわる,trung thành với cách làm
6436,実家を去る,KHỨ (去),じっかをさる,về nhà cha mẹ đẻ
6437,本番が迫る,BÁCH (迫),ほんばんがせまる,kì thi chính thức đang đến gần
6438,力が備わる,BỊ (備),ちからがそなわる,trang bị năng lực
6439,仕事に携わる,HUỀ (携),しごとにたずさわる,bận rộn với công việc
6440,不安が募る,MỘ (募),ふあんがつのる,lòng nhiều lo lắng
6441,道が交わる,GIAO (交),みちがまじわる,đường giao nhau
6442,海に潜る,TIỀM (潜),うみにもぐる,lặn xuống biển
6443,使い方を誤る,NGỘ (誤),つかいかたをあやまる,nhầm lẫn cách sử dụng
6444,髪の毛をいじる,-,かみのけをいじる,nghịch tóc
6445,努力を怠る,ĐÃI (怠),どりょくをおこたる,"xao nhãng sự cố gắng, ít nhiệt tình cố gắng"
6446,気を配る,PHỐI (配),きをくばる,"bận tâm, chú ý"
6447,申し出を断る,ĐOẠN (断),もうしでをことわる,"từ chối đơn xin, bác bỏ lời đề nghị"
6448,光を遮る,GIÀ (遮),ひかりをさえぎる,che ánh sáng
6449,腹を探る,THÁM (探),はらをさぐる,"thăm dò ý định, dò la bụng dạ"
6450,人生を悟る,NGỘ (悟),じんせいをさとる,thức tỉnh cuộc đời
6451,決断を迫る,BÁCH (迫),けつだんをせまる,thúc ép đưa ra quyết định
6452,魚を釣る,ĐIẾU (釣),さかなをつる,câu cá
6453,参加者を募る,MỘ (募),さんかしゃをつのる,tuyển người tham gia
6454,作戦を練る,LUYỆN (練),さくせんをねる,lên kế hoạch tác chiến
6455,水深を測る,TRẮC (測),すいしんをはかる,ném dây dọi xuống nước để đo chiều sâu
6456,便宜を図る,ĐỒ (図),べんぎをはかる,tính đến sự tiện nghi
6457,死者を葬る,TÁNG (葬),ししゃをほうむる,chôn cất người chết
6458,勝利を誇る,KHOA (誇),しょうりをほこる,khoe chiến thắng
6459,事件を巡る,TUẦN (巡),じけんをめぐる,xoay quanh vụ việc
6460,門を潜る,TIỀM (潜),もんをくぐる,đi qua cánh cổng
6461,肩が凝る,NGƯNG (凝),かたがこる,vai mỏi
6462,体を後ろに反る,PHẢN (反),からだをうしろにそる,ngả người ra sau
6463,計画が滞る,TRỆ (滞),けいかくがとどこおる,kế hoạch đình trệ
6464,感覚が鈍る,ĐỘN (鈍),かんかくがにぶる,cảm giác giảm đi
6465,最後まで粘る,NIÊM (粘),さいごまでねばる,chờ đến cùng
6466,仕事がはかどる,BỘ (捗),しごとがはかどる,công việc tiến triển thuận lợi
6467,読書にふける,ĐAM (耽),どくしょにふける,miệt mài đọc sách
6468,敵に勝る,THẮNG (勝),てきにまさる,thắng kẻ thù
6469,道具を操る,THAO (操),どうぐをあやつる,"thao tác công cụ, vận hành đạo cụ"
6470,道をたどる,TUẦN (辿),みちをたどる,men theo con đường
6471,学問を司る,TƯ (司),がくもんをつかさどる,kiểm soát học vấn
6472,名前が挙がる,CỬ (挙),なまえがあがる,được nêu tên
6473,不正に憤る,PHẪN (憤),ふせいにいきどおる,tức giận với hành vi bất chính
6474,試験に受かる,THỤ (受),しけんにうかる,thi đậu
6475,地面にうずくまる,-,じめんにうずくまる,ngồi xổm trên mặt đất
6476,窮地に陥る,HÃM (陥),きゅうちにおちいる,lâm vào cảnh khó khăn
6477,橋が架かる,GIÁ (架),はしがかかる,bắc cầu
6478,決断が覆る,PHÚC (覆),けつだんがくつがえる,quyết định bị lật ngược
6479,水が滴る,TÍCH (滴),みずがしたたる,rỉ nước
