STT,漢字,音（漢越）,読み方,意味
6890,鮮やか,TIÊN (鮮),あざやか,"rực rỡ, chói lọi, sống động, sâu sắc, khéo léo"
6891,おおまか,-,おおまか,đại khái
6892,穏やか,ỔN (穏),おだやか,"yên bình, ôn hòa, điềm đạm"
6893,おろそか,-,おろそか,"xem nhẹ, lơ là, sao nhãng"
6894,こまやか,-,こまやか,"tinh tế, chi tiết"
6895,速やか,TỐC (速),すみやか,nhanh chóng
6896,なごやか,-,なごやか,ôn hòa
6897,のどか,-,のどか,"thanh bình, yên tĩnh"
6898,華やか,HOA (華),はなやか,"lộng lẫy, hào nhoáng"
6899,朗らか,LÃNG (朗),ほがらか,tươi vui
6900,厳か,NGHIÊM (厳),おごそか,trang nghiêm
6901,愚か,NGU (愚),おきか,ngốc nghếch
6902,かすか,-,かすか,"yếu ớt, mờ nhạt"
6903,清らか,THANH (清),きよらか,trong trẻo
6904,きらびやか,-,きらびやか,"lộng lẫy, tráng lệ"
6905,しとやか,-,しとやか,"nhu mì, thùy mị, duyên dáng"
6906,しなやか,-,しなやか,"mềm dẻo, dễ uốn nắn"
6907,健やか,KIỆN (健),すこやか,"khỏe mạnh, khỏe khoắn"
6908,なめらか,-,なめらか,"trơn tru, trôi chảy"
6909,遥か,DAO (遥),はるか,"xa xăm, xa xôi"
6910,密か,MẬT (密),ひそか,"bí mật, lén lút"
6911,緩やか,HOÃN (緩),ゆるやか,"uyển chuyển, rộng thùng thình, mềm mỏng"
6912,うららか,-,うららか,"sáng rõ, êm dịu"
6913,おおらか,-,おおらか,"thanh thoát, không gò bó, rộng lượng"
6914,軽やか,KHINH (軽),かるやか,"nhẹ nhàng, du dương"
6915,きめ細やか,TẾ (細),きめこまやか,"đòi hỏi chính xác tuyệt đối, chú ý từng chi tiết"
6916,ささやか,-,ささやか,"nhỏ nhoi, nhỏ bé"
6917,高らか,CAO (高),たからか,"(giọng nói) sang sảng, cao vút"
6918,つややか,-,つややか,"sáng chói, mịn màng"
6919,にこやか,-,にこやか,"tươi cười, hớn hở"
6920,冷ややか,LÃNH (冷),ひややか,"lành lạnh, lãnh đạm, lạnh lùng"
6921,まことしやか,-,まことしやか,"ra vẻ như thật, có vẻ hợp lý"
6922,安らか,AN (安),やすらか,"thoải mái, tĩnh tại, thanh bình"
6923,新た,TÂN (新),あらた,"mới, mới mẻ"
6924,大げさ,ĐẠI (大),おおげさ,"nói quá, phóng đại"
6925,きざ,-,きざ,"màu mè, làm ra vẻ, cầu kì"
6926,盛ん,THỊNH (盛),さかん,phát đạt
6927,ぞんざい,-,ぞんざい,"thô lỗ, cộc cằn, nhếch nhác"
6928,まばら,-,まばら,"lắc nhắc, thưa thớt, rái rác"
6929,いい加減, GIA GIẢM (加減),いいかげん,"vô trách nhiệm, một vừa hai phải"
6930,うかつ,-,うかつ,"bất cẩn, thiếu suy nghĩ"
6931,うつろ,-,うつろ,"trống rỗng, lơ đãng, ngây dại, vô hồn"
6932,気まぐれ,KHÍ (気),きまぐれ,"thất thường, hay thay đổi"
6933,たくみ,-,たくみ,điêu luyện
6934,つぶら,-,つぶら,tròn trịa dễ thương
6935,物好き,VẬT HẢO (物好),ものずき,hiếu kì
6936,ろく,-,ろく,không đáng nhắc tới
6937,ありがち,-,ありがち,hay xảy ra
6938,ありきたり,-,ありきたり,"tiêu biểu, điển hình"
6939,いんちき,-,いんちき,"bịp bợm, gian lận, giả mạo"
6940,お粗末,THÔ MẠT (粗末),おそまつ,"thô sơ, đạm bạc, xem nhẹ"
6941,がむしゃら,-,がむしゃら,"lao đầu vào, bất chấp, liều lĩnh"
6942,軽はずみ,KHINH (軽),かるはずみ,"khinh suất, thiếu cân nhắc"
6943,気づまり,KHÍ (気),きづまり,không thoải mái
6944,気まま,KHÍ (気),きまま,"làm theo ý mình, bướng, ương ngạnh"
6945,ざっくばらん,-,ざっくばらん,"thoải mái, không câu nệ"
6946,ざら,-,ざら,"tầm thường, bình thường"
6947,したたか,-,したたか,"chắc chắn, mạnh mẽ, vững vàng"
6948,ずさん,-,ずさん,"cẩu thả, (làm việc) không đến nơi đến chốn"
