STT,漢字,音（漢越）,読み方,意味
9,保守,BẢO THỦ,ほしゅ,bảo thủ
10,加味,GIA VỊ,かみ,thêm gia vị
11,寄与,KÍ DỮ,きえ,đóng góp / giúp đỡ
12,指揮,CHỈ HUY,しき,chỉ huy
13,支持,CHỈ TRÌ,しじ,duy trì / nâng đỡ / ủng hộ
14,自首,TỰ THỦ,じしゅ,tự thú
15,所持,SỞ TRÌ,しょじ,sở hữu
18,餓死,NGẠ TỬ,がし,chết đói
19,帰化,QUY HÓA,きか,nhập quốc tịch
20,危惧,NGUY CỤ,きぐ,sợ hãi
21,起訴,KHỞI TỐ,きそ,khởi tố
22,忌避,KỊ TỊ,きひ,né tránh
23,挙手,CỬ THỦ,きょしゅ,giơ tay
24,駆使,KHU SỬ,くし,tận dụng hết
25,駆除,KHU TRỪ,くじょ,tiêu diệt
26,固辞,CỐ TỪ,こじ,từ chối
27,誇示,KHOA THỊ,こじ,khoa trương / khoe khoang
28,示唆,THỊ TOA,しさ,đề xuất / gợi ý
29,自負,TỰ PHỤ,じふ,kiêu ngạo / tự phụ
30,除去,TRỪ KHỨ,じょぎょ,loại bỏ / giải thoát
31,図示,ĐỒ THỊ,ずし,hiển thị
32,打破,ĐẢ PHÁ,だは,phá vỡ
34,卑下,TI HẠ,ひげ,hạ thấp mình / tự ti
35,補佐,BỔ TÁ,ほさ,trợ lí
36,拉致,LẠP TRÍ,らち,bắt cóc
37,濾過,LỰ QUÁ,ろか,lọc
38,意義,Ý NGHĨA,いぎ,ý nghĩa
39,異議,DỊ NGHỊ,いぎ,phản bác / phản đối
41,過疎,QUÁ SƠ,かそ,sự giảm dân số
45,誤差,NGỘ SA,ごさ,sai số
46,磁気,TỪ KHÍ,じき,từ tính
50,砂利,SA LỢI,じゃり,sỏi
51,趣旨,THÚ CHỈ,しゅし,ý đồ / mục đích
53,措置,THỐ BỊ,そち,biện pháp
57,義理,NGHĨA LÝ,ぎり,tình nghĩa
60,語句,NGỮ CÚ,ごく,câu cú
61,孤児,CÔ NHI,こじ/みなじょご,mồ côi
65,磁器,TỪ KHÍ,じき,đồ gốm sứ
67,自主,TỰ CHỦ,じしゅ,tự chủ
68,守備,THỦ BỊ,しゅび,phòng vệ / bảo vệ
70,庶務,THỨ VỊ,しょむ,cv tổng hợp
72,著書,TRỨ THƯ,ちょしょ,tác phẩm
74,秘書,BÍ THƯ,ひしょ,thư ký
75,不意,BẤT Ý,ふい,đột nhiên / không ngờ tới
77,捕虜,BỘ LỖ,ほりょ,tù binh
78,未知,VỊ TRI,みち,chưa biết
79,余暇,DƯ HẠ,よか,thời gian rảnh
80,利子,LỢI TỬ,りし,lời lãi
81,意気,Ý KHÍ,いき,tinh thần
82,囲碁,VI KÌ,いご,cờ vây
83,遺書,DI THƯ,いしょ,di thư
85,過度,QUÁ ĐỘ,かど,quá độ / quá mức
86,可否,KHẢ PHỦ,かひ,sự đúng sai
87,飢餓,CƠ NGẠ,きが,nạn đói
89,季語,QUÝ NGỮ,きご,từ ngữ theo mùa
90,機種,CƠ CHỦNG,きしゅ,chởng loại máy
91,旗手,KÌ THỦ,きしゅ,người chơi cờ
92,既知,KÍ TRI,きち,đã biết
93,虚偽,HƯ NGỤY,きょぎ,sự giả dối
94,虚無,HƯ VÔ,きょむ,trống rỗng
95,呼気,HÔ KHÍ,こき,hơi thở
97,語尾,NGỮ VỊ,ごび,vĩ tố / âm cuối
98,差異,SAI DỊ,さい,sự sai khác
99,時価,THỜI GIÁ,じか,giá hiện tại
100,時下,THỜI HẠ,じか,thời nay
101,時機,THỜI CƠ,じき,cơ hội / thời cơ
103,私語,TƯ NGỮ,しご,nói chuyện riêng / độc thoại
104,死語,TỬ NGỮ,しご,từ lỗi thời / tử ngữ
105,事後,SỰ HẬU,じご,sự việc sau đó
108,首位,THỦ VỊ,しゅい,vị trí đứng đầu
109,主旨,CHỦ CHỈ,しゅし,ý chính / lý do chính
110,種子,CHỦNG TỬ,しゅし,hạt giống
112,書記,THƯ KÍ,しょき,ghi chép / thư kí
113,齟齬,TRỞ NGỮ,そご,mâu thuẫn / bất hòa
114,地価,ĐỊA GIÁ,ちか,giá đất
115,致死,CHÍ TỬ,ちし,gây chết / chí mạng
116,覇者,BÁ GIẢ,はしゃ,quán quân / dẫn đầu
119,比喩,TỈ DỤ,ひゆ,so sánh / ví von
125,路地,LỘ ĐỊA,ろじ,đường đi
