STT,漢字,音（漢越）,読み方,意味
5012,軽傷,KHINH THƯƠNG,けいしょう,vết thương nhẹ
5013,軽症,KHINH CHỨNG,けいしょう,bệnh nhẹ
5014,軽食,KHINH THỰC,けいしょく,bữa ăn nhẹ
5015,軽度,KHINH ĐỘ,けいど,mức độ nhẹ
5016,軽減,KHINH GIẢM,けいげん,giảm nhẹ
5017,軽視,KHINH THỊ,けいし,"coi thường, xem nhẹ"
5018,軽蔑,KHINH MIỆT,けいべつ,"khinh miệt, coi thường"
5019,経緯,KINH VĨ,けいい,"ngang dọc, kinh độ và vĩ độ, lý do"
5020,経費,KINH PHÍ,けいひ,kinh phí
5021,経理,KINH LÝ,けいり,kế toán
5022,経歴,KINH LỊCH,けいれき,"quá trình làm việc, lý lịch"
5023,経路,KINH LỘ,けいろ,"tuyến đường, lộ trình"
5024,神経,THẦN KINH,しんけい,thần kinh
5025,経過,KINH QUÁ,けいか,"trôi qua, quá độ"
5026,細菌,TẾ KHUẨN,さいきん,vi khuẩn
5027,細部,TẾ BỘ,さいぶ,chi tiết
5028,細胞,TẾ BÀO,さいぼう,tế bào
5029,委細,ỦY TẾ,いさい,"chi tiết, tường tận"
5030,詳細,TƯỜNG TẾ,しょうさい,"tường tận, chi tiết"
5031,細工,TẾ CÔNG,さいく,"tác phẩm tinh xảo, thợ thủ công"
5032,採算,THÁI TOÁN,さいさん,"cân đối thu chi, lợi nhuận"
5033,採否,THÁI PHỦ,さいひ,tuyển dụng hay không
5034,採掘,THÁI QUẬT,さいくつ,khai thác mỏ
5035,採決,THÁI QUYẾT,さいけつ,bỏ phiếu
5036,採取,THÁI THỦ,さいしゅ,"thu gặt, rút ra, chiết"
5037,採集,THÁI TẬP,さいしゅう,thu thập
5038,採択,THÁI TRẠCH,さいたく,tuyển lựa
5039,採用,THÁI DỤNG,さいよう,tuyển dụng
5040,最愛,TỐI ÁI,さいあい,yêu nhất
5041,最悪,TỐI ÁC,さいあく,"xấu nhất, tệ nhất"
5042,最強,TỐI CƯỜNG,さいきょう,mạnh nhất
5043,最古,TỐI CỔ,さいこ,cũ nhất
5044,最期,TỐI KỲ,さいご,thời kì cuối
5045,最上,TỐI THƯỢNG,さいじょう,"trên cùng, tuyệt hảo"
5046,最新,TỐI TÂN,さいしん,"tối tân, mới nhất"
5047,最善,TỐI THIỆN,さいぜん,tốt nhất
5048,最多,TỐI ĐA,さいた,nhiều nhất
5049,最大,TỐI ĐẠI,さいだい,to nhất
5050,最短,TỐI ĐOẢN,さいたん,ngắn nhất
5051,最良,TỐI LƯƠNG,さいりょう,tốt nhất
5052,在庫,TẠI KHỐ,ざいこ,"còn trong kho, còn hàng"
5053,在室,TẠI THẤT,ざいしつ,ở trong phòng
5054,在職,TẠI CHỨC,ざいしょく,"tại chức, nắm giữ chức vụ"
5055,在宅,TẠI TRẠCH,ざいたく,tại nhà
5056,在中,TẠI TRUNG,ざいちゅう,ở bên trong
5057,健在,KIỆN TẠI,けんざい,sống khỏe mạnh
5058,在住,TẠI TRÚ,ざいじゅう,"cư trú, lưu trú"
5059,在籍,TẠI TỊCH,ざいせき,"có trong danh sách, được ghi vào sổ"
5060,在任,TẠI NHIỆM,ざいにん,tại nhiệm
5061,在留,TẠI LƯU,ざいりゅう,"tại lưu, cư trú, trú ngụ"
5062,滞在,TRỆ TẠI,たいざい,"trú lại, trọ lại"
5063,水圧,THỦY ÁP,すいあつ,sức ép của nước
5064,水位,THỦY VỊ,すいい,mực nước
5065,水害,THỦY HẠI,すいがい,mối nguy hại do nước
5066,水源,THỦY NGUYÊN,すいげん,nguồn nước
5067,水晶,THỦY TINH,すいしょう,thủy ting
5068,水深,THỦY THÂM,すいしん,mực nước sâu
5069,水性,THỦY TÍNH,すいせい,tính chất của nước
5070,水洗,THỦY TẨY,すいせん,rửa bằng nước
5071,水槽,THỦY TÀO,すいそう,bể nước
5072,水田,THỦY ĐIỀN,すいでん,"ruộng lúa, cánh đồng trồng lúa"
5073,水門,THỦY MÔN,すいもん,cống rãnh
5074,水力,THỦY LỰC,すいりょく,"thủy lực, sức nước"
5075,推移,THÔI DI,すいい,"chuyển tiếp, quá độ"
5076,推計,THÔI KẾ,すいけい,ước tính
5077,推敲,THÔI XAO,すいこう,gọt giũa sắp xếp (câu chữ)
5078,推察,THÔI SÁT,すいさつ,suy xét
5079,推奨,THÔI TƯỞNG,すいしょう,"tán dương, ca ngợi"
5080,推進,THÔI TIẾN,すいしん,thúc đẩy
5081,推薦,THÔI TIẾN,すいせん,tiến cử
5082,推測,THÔI TRẮC,すいそく,"suy đoán, ước đoán"
5083,推理,THÔI LÝ,すいり,"suy luận, lập luận"
5084,類推,LOẠI THÔI,るいすい,loại suy
5085,生涯,SINH NHAI,しょうがい,"sinh nhai, một đời"
5086,生気,SINH KHÍ,せいき,"sinh khí, sinh động"
5087,生計,SINH KẾ,せいけい,kế sinh nhai
5088,生後,SINH HẬU,せいご,sau khi được sinh ra
5089,生死,SINH TỬ,せいし,sống và chết
5090,生鮮,SINH TIÊN,せいせん,"tươi mới, tươi sống"
5091,生前,SINH TIỀN,せいぜん,"sinh tiền, lúc còn sống"
5092,生態,SINH THÁI,せいたい,sinh thái
5093,生誕,SINH ĐẢN,せいたん,"đản sinh, sinh ra, chào đời"
5094,生理,SINH LÝ,せいり,"sinh lý, kinh nguyệt"
5095,厚生,HẬU SINH,こうせい,"y tế, phúc lợi"
5096,生育,SINH DỤC,せいいく,"sinh ra và lớn lên, sinh trưởng"
5097,生成,SINH THÀNH,せいせい,"tạo ra, sản sinh"
5098,生息,SINH TỨC,せいそく,sinh sống
5099,生存,SINH TỒN,せいぞん,"sinh tồn, tồn tại"
5100,更生,CANH SINH,こうせい,"hồi sinh, phục hồi"
5101,再生,TÁI SINH,さいせい,"tái sinh, sống trở lại"
5102,発生,PHÁT SINH,はっせい,"phát sinh, sinh ra (câi mới)"
5103,正月,CHÍNH NGUYỆT,しょうがつ,"tháng một, năm mới"
5104,正直,CHÍNH TRỰC,しょうじき,"trung thực, thành thật"
5105,正体,CHÍNH THỂ,しょうたい,hình dạng thực sự
5106,正味,CHÍNH VỊ,しょうみ,"nguyên giá, vật thật, trọng lượng tịnh, thực tế"
5107,正解,CHÍNH GIẢI,せいかい,lời giải đúng
5108,正規,CHÍNH QUY,せいき,"chính thức, chính quy"
5109,正義,CHÍNH NGHĨA,せいぎ,chính nghĩa
5110,正常,CHÍNH THƯỜNG,せいじょう,trạng thái bình thường
5111,正答,CHÍNH ĐÁP,せいとう,trả lời đúng
5112,正論,CHÍNH LUẬN,せいろん,"lý lẽ vững vàng, đúng với đạo lý"
5113,不正,BẤT CHÍNH,ふせい,"bất chính, gian lận"
5114,正座,CHÍNH TỌA,せいざ,ngồi ngay ngắn
5115,改正,CẢI CHÍNH,かいせい,"cải chính, sửa đổi"
5116,校正,HIỆU CHÍNH,こうせい,"hiệu chỉnh, sửa lỗi"
5117,修正,TU CHÍNH,しゅうせい,chỉnh sửa
5118,是正,THỊ CHÍNH,ぜせい,"sửa cho đúng, làm cho ngay ngắn"
5119,訂正,ĐÍNH CHÍNH,ていせい,"đính chính, sửa lại chỗ sai"
5120,製鉄,CHẾ THIẾT,せいてつ,sản xuất sắt
5121,製法,CHẾ PHÁP,せいほう,phương pháp chế tạo
5122,制約,CHẾ ƯỚC,せいやく,"ràng buộc, hạn chế, giới hạn"
5123,製油,CHẾ DU,せいゆ,"lọc dầu, tinh chế dầu"
5124,製造,CHẾ TẠO,せいぞう,chế tạo
5125,製本,CHẾ BỔN,せいほん,"chế bản, đóng sách"
5126,作製,TÁC CHẾ,さくせい,chế tác
5127,精製,TINH CHẾ,せいせい,tinh chế
5128,体格,THỂ CÁCH,たいかく,"khổ người, tầm vóc"
5129,体型,THỂ HÌNH,たいけい,hình dáng cơ thể
5130,体質,THỂ CHẤT,たいしつ,thể chất
5131,体調,THỂ ĐIỀU,たいちょう,tình trạng cơ thể
5132,体長,THỂ TRƯỜNG,たいちょう,chiều dài cơ thể
5133,体内,THỂ NỘI,たいない,trong cơ thể
5134,体罰,THỂ PHẠT,たいばつ,"trừng phạt về thể xác, nhục hình"
5135,体力,THỂ LỰC,たいりょく,thể lực
5136,体裁,THỂ TÀI,ていさい,"ngoại hình, định dạng, thể diện, trình bày"
5137,遺体,DI THỂ,いたい,thi hài
5138,具体,CỤ THỂ,ぐたい,cụ thể
5139,媒体,MÔI THỂ,ばいたい,"trung gian, thiết bị ghi"
5140,文体,VĂN THỂ,ぶんたい,"cách viết văn, văn phong"
5141,本体,BỔN THỂ,ほんたい,"hình dạng thực sự, chủ thể, bản thể"
5142,世間体,THẾ GIAN THỂ,せけんてい,hình ảnh trước công chúng
