STT,漢字,音（漢越）,読み方,意味
2095,本筋,BỔN CÂN,ほんすじ,"cốt truyện, sườn chính"
2098,縁側,DUYÊN TRẮC,えんがわ,hiên nhà
2100,桟橋,SẠN KIỀU,さんばし,bến tàu
2101,地主,ĐỊA CHỦ,じぬし,"chủ đất, người sở hữu đất"
2102,地元,ĐỊA NGUYÊN,じもと,địa phương
2103,円高,VIÊN CAO,えんだか,đồng yen lên giá
2105,額縁,NGẠCH DUYÊN,がくぶち,"khung treo (tranh, ảnh)"
2106,急場,CẤP TRƯỜNG,きゅうば,"tình trạng khẩn cấp, tình thế"
2107,札束,TRÁT THÚC,さつたば,"bó tiền, cuộn tiền, nhiều tiền"
2108,地道,ĐỊA ĐẠO,じみち,"chắc chắn, đảm bảo, ổn định"
2110,素顔,TỐ NHAN,すがお,mặt mộc
2111,図柄,ĐỒ BỈNH,ずがら,"kiểu vẽ, thiết kế, họa tiết"
2112,素手,TỐ THỦ,すで,tay không
2113,図星,ĐỒ TINH,ずぼし,"đoán trúng, điểm yếu"
2114,雑木,TẠP MỘC,ぞうき,"bụi cây, bụi rậm"
2116,粗品,THÔ PHẨM,そしな,quà mọn
2117,頭取,ĐẦU THỦ,とうどり,"chủ tịch, người đứng đầu, thống đốc"
2118,銘柄,MINH BỈNH,めいがら,"nhãn hàng, tên sản phẩm"
2119,翌朝,DỰC TRIÊU,よくあさ,sáng hôm sau
2120,指図,CHỈ ĐỒ,さしず,"chỉ dẫn, ra lệnh"
2121,手順,THỦ THUẬN,てじゅん,thứ tự
2122,人質,NHÂN CHẤT,ひとじち,con tin
2123,枠内,(枠: quốc tự) NỘI,わくない,"trong khung, trong phạm vi"
2124,赤字,XÍCH TỰ,あかじ,"thâm hụt, lỗ"
2125,雨具,VŨ CỤ,あまぐ,đồ đi mưa
2126,浮気,PHÙ KHÍ,うわき,"thất thường, hay thay đổi, đa tình"
2127,株式,CHU THỨC,かぶしき,cổ phiếu
2128,黒字,HẮC TỰ,くろじ,"lời, lãi"
2129,寒気,HÀN KHÍ,さむけ,"độ lạnh, ớn lạnh"
2130,手錠,THỦ ĐĨNH,てじょう,"xích tay, còng tay"
2131,手数,THỦ SỐ,てすう,"phiền phức, rắc rối"
2132,手配,THỦ PHỐI,てはい,chuẩn bị
2133,手本,THỦ BỔN,てほん,gương mẫu
2134,眠気,MIÊN KHÍ,ねむけ,buồn ngủ
2135,蜂蜜,PHONG MẬT,はちみつ,mật ong
2137,水気,THỦY KHÍ,みずけ,"ướt, dính nước"
2138,喪服,TANG PHỤC,もふく,đồ tang
2139,頭金,ĐẦU KIM,あたまきん,tiền gửi ban đầu
2140,親分,THÂN PHÂN,おやぶん,tên đầu sỏ
2141,係員,HỆ VIÊN,かかりいん,người phụ trách
2142,株価,CHU GIÁ,かぶか,giá cổ phiếu
2143,消印,TIÊU ẤN,けしいん,"dấu bưu điện, dấu xóa bỏ"
2144,更地,CANH ĐỊA,さらち,đất hoang
2145,敷金,PHU KIM,しききん,tiền cọc
2146,喪中,TANG TRUNG,もちゅう,đang chịu tang
2147,悪気,ÁC KHÍ,わるぎ,"ác ý, mánh khóe"
2149,問屋,VẤN ỐC,とんや,cửa hàng kinh doanh
2150,名残,DANH TÀN,なごり,"tàn dư, luyến lưu"
2151,団扇,ĐOÀN PHIẾN,うちわ,"quạt tròn, quạt giấy"
2152,心地,TÂM ĐỊA,ここち,cảm giác
2153,粉々,PHẤN PHẤN,こなごな,vụn nhỏ
2154,仲人,TRỌNG NHÂN,なこうど,"người mai mối, người môi giới"
2155,雪崩,TUYẾT BĂNG,なだれ,tuyết lở
2156,裸足,LỎA TÚC,はだし,chân trần
2157,日向,NHẬT HƯỚNG,ひなた,"nơi có nắng rọi, chỗ nắng"
2158,稲妻,ĐẠO THÊ,いなずま,tia chớp
2159,風上,PHONG THƯỢNG,かざかみ,"phía có gió, hướng gió thổi"
2160,数々,SỐ SỐ,かずかず,nhiều
2161,形見,HÌNH KIẾN,かたみ,kỉ vật
2162,金具,KIM CỤ,かなぐ,công cụ bằng kim loại
2163,彼方,BỈ PHƯƠNG,かなた,"chỗ đó, nơi phương ấy"
2164,神業,THẦN NGHIỆP,かみわざ,"phép thần thông, phép màu"
2165,為替,VI THẾ,かわせ,đổi tiền
2166,神主,THẦN CHỦ,かんぬし,người đứng đầu thần giáo
2167,霧雨,VỤ VŨ,きりさめ,mưa phùn
2168,木陰,MỘC ÂM,こかげ,"bóng cây, bóng râm"
2169,小雨,TIỂU VŨ,こさめ,"mưa nhỏ, mưa bụi"
2170,木立,MỘC LẬP,こだち,"lùm cây, bụi cây"
2171,先々,TIÊN TIÊN,さきざき,"tương lai xa, xa xưa, nơi đi"
2172,老舗,LÃO PHỐ,しにせ,cửa hàng lâu đời truyền từ đời này sang đời khác
2173,仕業,SĨ NGHIỆP,しわざ,"thao tác, vận hành"
2174,隅々,NGUNG NGUNG,すみずみ,"ngóc ngách, khắp nơi"
2175,七夕,THẤT TỊCH,たなばた,lễ Thất tịch
2176,後々,HẬU HẬU,のちのち,"tương lai, sau này"
2177,久々,CỬU CỬU,ひさびさ,"lâu nay, lâu rồi"
2178,節々,TIẾT TIẾT,ふしぶし,nhiều chỗ
2179,風情,PHONG TÌNH,ふぜい,"dáng vẻ, cảm giác"
2180,見栄,KIẾN VINH,みえ,"vẻ ngoài, diện mạo, khoe mẽ"
2181,神輿,THẦN DƯ,みこし,kiệu
