STT,漢字,音（漢越）,読み方,意味
1091,救援,CỨU VIỆN,きゅうえん,cứu viện
1092,救済,CỨU TẾ,きゅうさい,viện trợ
1093,休養,HƯU DƯỠNG,きゅうよう,nghỉ dưỡng
1094,収穫,THU HOẠCH,しゅうかく,thu hoạch
1095,終始,CHUNG THỦY,しゅうし,đầu đến cuối
1096,重視,TRỌNG THỊ,じゅうし,xem trọng
1097,従事,TÙNG SỰ,じゅうじ,hành nghề
1098,充実,SUNG THỰC,じゅうじつ,đầy đủ
1099,修飾,TU SỨC,しゅうしょく,trang điểm / bổ nghĩa
1100,渋滞,SÁP TRỆ,じゅうたい,kẹt xe
1101,執着,CHẤP TRỨ,しゅうちゃく,lưu luyến / bám chặt
1102,収容,THU DUNG,しゅうよう,sức chứa / dung nạp (người / vật)
1103,忠告,TRUNG CÁO,ちゅうこく,nhắc nhở / khuyên bảo
1104,中傷,TRUNG THƯƠNG,ちゅうしょう,bôi nhọ / phỉ báng
1105,抽選,TRỪU TUYỂN,ちゅうせん,rút thăm
1106,給仕,CẤP SĨ,きゅうじ,tiếp viên / phục vụ
1107,窮乏,CÙNG PHẠP,きゅうぼう,nghèo / thiếu thốn
1108,就業,TỰU NGHIỆP,しゅうぎょう,làm việc
1109,襲撃,TẬP KÍCH,しゅうげき,tấn công
1110,収集,THU TẬP,しゅうしゅう,thu gom / tập hợp
1111,重複,TRỌNG PHÚC,ちょうふく,trùng lặp
1112,終了,CHUNG LIỄU,しゅうりょう,kết thúc
1113,中継,TRUNG KẾ,ちゅうけい,phát sóng truyền hình
1114,入手,NHẬP THỦ,にゅうしゅ,nắm bắt / có trong tay
1115,流通,LƯU THÔNG,りゅうつう,lưu thông
1116,求刑,CẦU HÌNH,きゅうけい,hỏi cung / truy hỏi
1117,救出,CẦU XUẤT,きゅうしゅつ,giải cứu / cứu thoát
1118,及第,CẬP ĐỆ,きゅうだい,thi đậu
1119,糾弾,CỦ ĐÀN,きゅうだん,khiển trách / lên án
1120,急騰,CẤP ĐẰNG,きゅうとう,tăng đột ngột
1121,給付,CẤP PHÓ,きゅうふ,trợ cấp / hỗ trợ
1122,究明,CỨU MINH,きゅうめい,điều tra rõ
1123,終焉,CHUNG YÊN,しゅうえん,chấm dứt / kết thúc
1124,銃撃,SÚNG KÍCH,じゅうげき,nổ súng
1125,収拾,THU THẬP,しゅうしゅう,sắp xếp / điều chỉnh
1126,収縮,THU SÚC,しゅうしゅく,co rút / co lại
1127,就寝,TỰU TẨM,しゅうしん,ngủ
1128,従属,TÙNG CHÚC,じゅうぞく,phụ thuộc
1129,習得,TẬP ĐẮC,しゅうとく,lĩnh hội
1130,収納,THU NẠP,しゅうのう,thu dọn / thu nạp
1131,充満,SUNG MÃN,じゅうまん,tràn đầy / sung mãn
1132,就労,TỰU LAO,しゅうろう,lao động
1133,仲介,TRỌNG GIỚI,ちゅうかい,môi giới
1134,仲裁,TRỌNG TÀI,ちゅうさい,trọng tài
1135,注釈,CHÚ THÍCH,ちゅうしゃく,chú thích
1136,抽出,TRỪU XUẤT,ちゅうしゅつ,trích xuất / lọc
1137,躊躇,TRÙ TRỪ,ちゅうちょ,chần chừ / do dự
1138,入札,NHẬP TRÁT,にゅうさつ,đấu thầu / đấu giá
1139,宮殿,CUNG ĐIỆN,きゅうでん,cung điện
1140,丘陵,KHÂU LĂNG,きゅうりょう,đồi núi
1141,周囲,CHU VI,しゅうい,xung quanh
1142,収益,THU ÍCH,しゅうえき,tiền lãi
1143,収支,THU CHI,しゅうし,thu chi
1144,終日,CHUNG NHẬT,しゅうじつ,cả ngày
1145,従来,TÙNG LAI,じゅうらい,từ trước đến nay
1146,中旬,TRUNG CÚ,ちゅうじゅん,10 ngày giữa tháng
1147,中毒,TRUNG ĐỘC,ちゅうどく,trúng độc
1148,中腹,TRUNG PHÚC,ちゅうふく,lưng chừng núi
1149,究極,CỬU CỰC,きゅうきょく,cùng cực / tận cùng
1150,中枢,TRUNG XU,ちゅうすう,trung khu / trung tâm
1151,嗅覚,KHỨU GIÁC,きゅうかく,khứu giác
1152,吸入,HẤP NHẬP,きゅうにゅう,hô hấp
1153,旧暦,CỰU LỊCH,きゅうれき,âm lịch
1154,重罪,TRỌNG TỘI,じゅうざい,trọng tội
1155,重傷,TRỌNG THƯƠNG,じゅうしょう,trọng thương
1156,重症,TRỌNG BỆNH,じゅうしょう,trọng bệnh
1157,囚人,TÙ NHÂN,しゅうじん,tù nhân
1158,醜態,XÚ THÁI,しゅうたい,thói xấu / khó coi
1159,執念,CHẤP NIỆM,しゅうねん,kiên định / cố chấp / khăng khăng
1160,中核,TRUNG HẠCH,ちゅうかく,trung tâm / cốt lõi
1161,中軸,TRUNG TRỤC,ちゅうじく,trục giữa / trung tâm hoạt động
1162,享受,HƯỞNG THỤ,きょうじゅ,hưởng thụ
1163,強制,CƯỜNG CHẾ,きょうせい,cưỡng chế / bắt ép
1164,強調,CƯỜNG ĐIỀU,きょうちょう,nhấn mạnh
1165,共鳴,CỘNG MINH,きょうめい,cộng hưởng / vang vọng
1166,消去,TIÊU KHỨ,しょうきょ,xóa bỏ / triệt tiêu
1167,照合,CHIẾU HỢP,しょうごう,đối chiếu / so sánh
1168,上昇,THƯỢNG THĂNG,じょうしょう,tăng lên / tiến lên
1169,昇進,THĂNG TIẾN,しょうしん,thăng tiến / thăng chức
1170,衝突,XUNG ĐỘT,しょうとつ,xung đột
1171,譲歩,NHƯỢNG BỘ,じょうほ,nhượng bộ
1172,証明,CHỨNG MINH,しょうめい,chứng minh
1173,蒸留,CHƯNG LƯU,じょうりゅう,chưng cất
1174,奨励,TƯỞNG LỆ,しょうれい,khích lệ
1175,彫刻,ĐIÊU KHẮC,ちょうこく,điêu khắc
1176,徴収,TRƯNG THU,ちょうしゅう,thu tiền / thuế / giấy tờ
1177,調理,ĐIỀU LÍ,ちょうり,chế biến / chuẩn bị đồ ăn
1178,了承,LIỄU THỪA,りょうしょう,thừa nhận / chấp nhận
1179,両立,LƯỠNG LẬP,りょうりつ,song song / cả 2
1180,共存,CỘNG TỒN,きょうぞん,cùng tồn tại
1181,協調,HIỆP ĐIỀU,きょうちょう,hiệp lực / phối hợp / hợp tác
1182,脅迫,HIẾP BÁCH,きょうはく,đe dọa / uy hiếp
1183,承諾,THỪA NẶC,しょうだく,đồng ý / nhận lời
1184,象徴,TƯỢNG TRƯNG,しょうちょう,tượng trưng
1185,勝利,THẮNG LỢI,しょうり,thắng lợi / chiến thắng
1186,上陸,THƯỢNG LỤC,じょうりく,đổ bộ / hạ cánh
1187,聴講,THÍNH GIẢNG,ちょうこう,dự thính / thính giảng
1188,挑戦,THIÊU CHIẾN,ちょうせん,thử thách / đương đầu
1189,調停,ĐIỀU ĐÌNH,ちょうてい,hòa giải
1190,描写,MIÊU TẢ,びょうしゃ,miêu tả / phác họa / khắc họa / phản ánh
1191,了解,LIỄU GIẢI,りょうかい,hiểu
1192,凝縮,NGƯNG SÚC,ぎょうしゅく,ngưng tụ / dồn lại
1193,供述,CUNG THUẬT,きょうじゅつ,khai nhận
1194,共謀,CUNG MƯU,きょうぼう,đồng lõa / thông đồng
1195,掌握,CHƯỞNG ÁC,しょうあく,nắm trong tay / nắm được / giành được
1196,照会,CHIẾU HỘI,しょうかい,điều tra / truy hỏi
1197,昇給,THĂNG CẤP,しょうきゅう,tăng lương
1198,招集,CHIÊU TẬP,しょうしゅう,triệu tập
1199,譲渡,NHƯỢNG ĐỘ,じょうと,chuyển nhượng
1200,消滅,TIÊU DIỆT,しょうめつ,tiêu biến / tiêu diệt
1201,超越,SIÊU VIỆT,ちょうえつ,xuất sắc / vượt trội
1202,聴取,THÍNH THỦ,ちょうしゅ,nghe / lắng nghe
1203,表彰,BIỂU CHƯƠNG,ひょうしょう,khen thưởng / biểu dương
1204,境遇,CẢNH NGỘ,きょうぐう,hoàn cảnh / cảnh ngộ
1205,教訓,GIÁO HUẤN,きょうくん,bài học rút ra
1206,業績,NGHIỆP TÍCH,ぎょうせき,thành tựu / thành tích
1207,境地,CẢNH ĐỊA,きょうち,cảnh ngộ / hoàn cảnh
1208,協定,HIỆP ĐỊNH,きょうてい,hiệp định / giao kèo / giao ước
1209,郷里,HƯƠNG LÍ,きょうり,quê hương
1210,障害,CHƯỚNG HẠI,しょうがい,khó khăn / trở ngại
1211,生涯,SANH NHAI,しょうがい,sinh nhai / cả đời / suốt đời
1212,衝撃,XUNG KÍCH,しょうげき,va đập / sốc / tác động
1213,証拠,CHỨNG CỨ,しょうこ,bằng chứng / chứng cứ
1214,詳細,TƯỞNG TẾ,しょうさい,chi tiết / tường tận
1215,症状,CHỨNG TRẠNG,しょうじょう,tình trạng bệnh
1216,正体,CHÁNH THỂ,しょうたい,chân tướng / hình dạng thật sự
1217,状態,TRẠNG THÁI,じょうたい,trạng thái
1218,焦点,TIÊU ĐIỂM,しょうてん,trọng điểm / tiêu điểm
1219,証人,CHỨNG NHÂN,しょうにん,nhân chứng
1220,標語,TIÊU NGỮ,ひょうご,khẩu hiệu / slogan / phương châm
1221,領域,LĨNH VỰC,りょういき,khu vực / phạm vi / lĩnh vực
1222,良識,LƯƠNG THỨC,りょうしき,lẽ phải / đều đúyg với lương tím
1223,橜異,KINH DỈ,きょうい,kỳ tích / phi thường
1224,凶作,HUNG TÁC,きょうさく,mất mùa
