STT,漢字,音（漢越）,読み方,意味
6110,激情,KÍCH TÌNH,げきじょう,"tình cảm dâng trào, cảm xúc mãnh liệt"
6111,過激,QUÁ KÍCH,かげき,"quá khích, cực đoan"
6112,急激,CẤP KÍCH,きゅうげき,nhanh và mãnh liệt
6113,激減,KÍCH GIẢM,げきげん,giảm đột ngột
6114,激怒,KÍCH NỘ,げきど,"rất tức giận, nổi xung"
6115,激動,KÍCH ĐỘNG,げきどう,chuyển động đột ngột
6116,激突,KÍCH ĐỘT,げきとつ,"đâm sầm, đụng mạnh"
6117,激変,KÍCH BIẾN,げきへん,thay đổi đột ngột
6118,激励,KÍCH LỆ,げきれい,"khích lệ, động viên"
6119,感激,CẢM KÍCH,かんげき,cảm kích
6120,刺激,THÍCH KÍCH,しげき,kích thích
6121,敵意,ĐỊCH Ý,てきい,lòng thù địch
6122,宿敵,TÚC ĐỊCH,しゅくてき,kẻ thù truyền kiếp
6123,素敵,TỐ ĐỊCH,すてき,dễ thương
6124,無敵,VÔ ĐỊCH,むてき,"không địch thủ, không có đối thủ"
6125,敵視,ĐỊCH THỊ,てきし,coi như kẻ thù
6126,敵対,ĐỊCH ĐỐI,てきたい,"đối địch, đối kháng"
6127,匹敵,THẤT ĐỊCH,ひってき,"ngang tài ngang sức, sánh ngang"
6128,摘要,TRÍCH YẾU,てきよう,tóm tắt những chỗ quan trọng
6129,摘出,TRÍCH XUẤT,てきしゅつ,"rút ra, vắt ép, cắt bỏ (khối u)"
6130,摘発,TRÍCH PHÁT,てきはつ,"vạch trần, phơi bày"
6131,指摘,CHỈ TRÍCH,してき,chỉ trích
6132,格言,CÁCH NGÔN,かくげん,"cách ngôn, châm ngôn"
6133,格差,CÁCH SAI,かくさ,"sai khác, cách biệt, chênh lệch"
6134,格段,CÁCH ĐOẠN,かくだん,"cách biệt, khoảng cách đáng kể"
6135,格別,CÁCH BIỆT,かくべつ,"riêng biệt, khác thường, đặc biệt"
6136,格子,CÁCH TỬ,こうし,"đường kẻ ô, mắt lưới"
6137,規格,QUY CÁCH,きかく,quy cách
6138,骨格,CỐT CÁCH,こっかく,"khung xương, phần khung, dàn bài"
6139,人格,NHÂN CÁCH,じんかく,nhân cách
6140,体格,THỂ CÁCH,たいかく,"khổ người, tầm vóc"
6141,破格,PHÁ CÁCH,はかく,phá cách
6142,品格,PHẨM CÁCH,ひんかく,phẩm giá
6143,格闘,CÁCH ĐẤU,かくとう,"đấu tranh, vật lộn (với khó khăn)"
6144,学説,HỌC THUYẾT,がくせつ,học thuyết
6145,学則,HỌC TẮC,がくそく,nội quy nhà trường
6146,学歴,HỌC LỊCH,がくれき,quá trình học tập
6147,哲学,TRIẾT HỌC,てつがく,triết học
6148,極限,CỰC HẠN,きょくげん,"cực hạn, giới hạn cuối cùng"
6149,極端,CỰC ĐOAN,きょくたん,"cực đoan, tột độ"
6150,極度,CỰC ĐỘ,きょくど,cực độ
6151,極上,CỰC THƯỢNG,ごくじょう,"cao nhất, hảo hạng, tuyệt vời"
6152,極楽,CỰC LẠC,ごくらく,cực lạc
6153,究極,CỨU CỰC,きゅうきょく,"tột cùng, tận cùng"
6154,至極,CHÍ CỰC,しごく,"vô cùng, hết sức"
6155,両極,LƯỠNG CỰC,りょうきょく,"hai cực, cực nam và bắc, cực âm và dương"
6156,広告,QUẢNG CÁO,こうこく,quảng cáo
6157,告示,CÁO THỊ,こくじ,cáo thị
6158,告訴,CÁO TỐ,こくそ,tố cáo
6159,告知,CÁO TRI,こくち,thông cáo
6160,告白,CÁO BẠCH,こくはく,"tỏ tình, thú nhận, bố cáo"
6161,告発,CÁO PHÁT,こくはつ,tố cáo
6162,申告,THÂN CÁO,しんこく,khai báo
6163,忠告,TRUNG CÁO,ちゅうこく,khuyên bảo
6164,通告,THÔNG CÁO,つうこく,thông cáo
6165,密告,MẬT CÁO,みっこく,cáo mật
6166,国営,QUỐC DOANH,こくえい,quốc doanh
6167,国益,QUỐC ÍCH,こくえき,"lợi ích quốc gia, ích nước"
6168,国債,QUỐC TRÁI,こくさい,nợ quốc gia
6169,国産,QUỐC SẢN,こくさん,sản xuất trong nước
6170,国土,QUỐC THỔ,こくど,"quốc thổ, lãnh thổ quốc gia"
6171,国防,QUỐC PHÒNG,こくぼう,quốc phòng
6172,国有,QUỐC HỮU,こくゆう,"quốc hữu, sở hữu nhà nước"
6173,各国,CÁC QUỐC,かっこく,mỗi quốc gia
6174,諸国,CHƯ QUỐC,しょこく,các nước
6175,母国,MẪU QUỐC,ぼこく,đất nước tôi
6176,本国,BỔN QUỐC,ほんごく,"quê hương, tổ quốc, đất nước mình"
6177,職員,CHỨC VIÊN,しょくいん,viên chức
6178,職種,CHỨC CHỦNG,しょくしゅ,loại hình nghề nghiệp
6179,職人,CHỨC NHÂN,しょくにん,"thợ thủ công, nghệ nhân"
6180,職務,CHỨC VỤ,しょくむ,chức vụ
6181,職歴,CHỨC LỊCH,しょくれき,quá trình làm việc
6182,天職,THIÊN CHỨC,てんしょく,thiên chức
6183,在職,TẠI CHỨC,ざいしょく,"tại chức, nắm giữ chức vụ"
6184,辞職,TỪ CHỨC,じしょく,từ chức
6185,退職,THOÁI CHỨC,たいしょく,nghỉ việc
6186,転職,CHUYỂN CHỨC,てんしょく,đổi việc
6187,即日,TỨC NHẬT,そくじつ,"ngay ngày hôm đó, ngay bữa đó"
6188,即席,TỨC TỊCH,そくせき,"ngay, liền lập tức (không chuẩn bị trước)"
6189,即刻,TỨC KHẮC,そっこく,"tức khắc, tức thì"
6190,即死,TỨC TỬ,そくし,chết ngay tại chỗ
6191,即断,TỨC ĐOẠN,そくだん,quyết định tức thì
6192,即答,TỨC ĐÁP,そくとう,trả lời ngay
6193,即売,TỨC MẠI,そくばい,bán ngay tại chỗ
6194,着眼,TRỨ NHÃN,ちゃくがん,"chú ý, để mắt tới"
6195,横着,HOÀNH TRỨ,おうちゃく,"lười nhác, ma mãnh"
6196,粘着,NIÊM TRỨ,ねんちゃく,bám dính
6197,必着,TẤT TRỨ,ひっちゃく,nhất định sẽ tới
6198,着手,TRỨ THỦ,ちゃくしゅ,bắt tay vào công việc
6199,着色,TRỨ SẮC,ちゃくしょく,tô màu
6200,着席,TRỨ TỊCH,ちゃくせき,ngồi
6201,着地,TRỨ ĐỊA,ちゃくち,"nơi đến, điểm đến"
6202,着服,TRỨ PHỤC,ちゃくふく,"mặc quần áo, biển thủ"
6203,着目,TRỨ MỤC,ちゃくもく,"tập trung chú ý, để mắt tới"
6204,着用,TRỨ DỤNG,ちゃくよう,"mặc, mang, đội"
6205,着陸,TRỨ LỤC,ちゃくりく,"hạ cánh, chạm xuống đất"
6206,決着,QUYẾT TRỨ,けっちゃく,đi đến kết luận
6207,執着,CHẤP TRỨ,しゅうちゃく,"chấp trước, giữ mãi"
6208,密着,MẬT TRỨ,みっちゃく,dính chặt
6209,落着,LẠC TRỨ,らくちゃく,"giải quyết, dàn xếp ổn thỏa"
6210,直射,TRỰC XẠ,ちょくしゃ,"chiếu thẳng, bắn thẳng"
6211,直接,TRỰC TIẾP,ちょくせつ,trực tiếp
6212,直属,TRỰC THUỘC,ちょくぞく,trực thuộc
6213,直売,TRỰC MẠI,ちょくばい,bán trực tiếp (không qua trung gian)
6214,宿直,TÚC TRỰC,しゅくちょく,thức đêm trực
6215,正直,CHÍNH TRỰC,しょうじき,"trung thực, thành thật"
6216,垂直,THÙY TRỰC,すいちょく,"vuông góc, thẳng đứng"
6217,率直,SUẤT TRỰC,そっちょく,"ngay thẳng, bộc trực"
6218,日直,NHẬT TRỰC,にっちょく,trực ban ngày
6219,直訴,TRỰC TỐ,じきそ,tố trực tiếp
6220,直撃,TRỰC KÍCH,ちょくげき,đánh trực diện
6221,直視,TRỰC THỊ,ちょくし,nhìn thẳng
6222,直進,TRỰC TIẾN,ちょくしん,tiến thẳng
6223,直送,TRỰC TỐNG,ちょくそう,"gửi thẳng, giao thẳng (không qua trung gian)"
6224,直面,TRỰC DIỆN,ちょくめん,"trực diện, trực tiếp đối mặt"
6225,直訳,TRỰC DỊCH,ちょくやく,"dịch từng chữ, dịch đúng nguyên văn"
6226,直立,TRỰC LẬP,ちょくりつ,"đứng thẳng, ngay thẳng"
6227,硬直,NGẠNH TRỰC,こうちょく,cứng đờ
6228,独裁,ĐỘC TÀI,どくさい,độc tài
6229,独自,ĐỘC TỰ,どくじ,"độc đáo, khác biệt"
6230,独創,ĐỘC SÁNG,どくそう,tự tạo ra không bắt chước ai
6231,独断,ĐỘC ĐOÁN,どくだん,độc đoán
6232,独特,ĐỘC ĐẶC,どくとく,độc đáo
6233,独力,ĐỘC LỰC,どくりょく,sức lực của bản thân
6234,独善的,ĐỘC THIỆN ĐÍCH,どくぜんてき,"tự cho mình đúng, tự mãn, độc đoán"
6235,孤独,CÔ ĐỘC,こどく,cô độc
6236,単独,ĐƠN ĐỘC,たんどく,đơn độc
6237,独占,ĐỘC CHIẾM,どくせん,độc chiếm
6238,独白,ĐỘC BẠCH,どくはく,"độc thoại, tự nói một mình"
6239,白紙,BẠCH CHỈ,はくし,"giấy trắng, để giấy trắng"
6240,白書,BẠCH THƯ,はくしょ,sách trắng
