STT,漢字,音（漢越）,読み方,意味
2767,争い,TRANH,あらそい,tranh giành
2768,償い,THƯỜNG,つぐない,"bồi thường, đền bù"
2769,狙い,THƯ,ねらい,mục tiêu
2770,偏り,THIÊN,かたより,"nghiêng, lệch"
2771,衰え,SUY,おとろえ,suy yếu
2772,試み,THÍ,こころみ,thử
2773,誇り,KHOA,ほこり,niềm tự hào
2774,訪れ,PHỎNG,おとずれ,"ghé thăm, viếng thăm"
2775,味わい,VỊ,あじわい,"hương vị, thú vị"
2776,扱い,TRÁP,あつかい,"đối đãi, cư xử"
2777,行い,HÀNH,おこない,thực hiện
2778,救い,CỨU,すくい,cứu giúp
2779,揃い,TIỄN,そろい,"thu gom, tập hợp"
2780,訴え,TỐ,うったえ,"tố tụng, khiếu kiện"
2781,教え,GIÁO,おしえ,dạy dỗ
2782,覚え,GIÁC,おぼえ,nhớ
2783,構え,CẤU,かまえ,"tư thế, thế đứng, cấu tạo"
2784,例え,LỆ,たとえ,"ví dụ, giả dụ"
2785,動き,ĐỘNG,うごき,hoạt động
2786,驚き,KINH,おどろき,ngạc nhiên
2787,招き,CHIÊU,まねき,mời chào
2788,瞬き,THUẤN,まばたき,nháy mắt
2789,賭け,ĐỔ,かけ,"cá cược, đặt cược"
2790,助け,TRỢ,たすけ,giúp đỡ
2791,届け,GIỚI,とどけ,"chuyển đến, tờ đơn"
2792,証し,CHỨNG,あかし,"bằng chứng, chứng minh"
2793,写し,TẢ,うつし,"bản sao, bản chụp"
2794,兆し,TRIỆU,きざし,triệu chứng
2795,流し,LƯU,ながし,"vòi rửa, bồn rửa"
2796,過ち,QUÁ,あやまち,"lỗi lầm, tội lỗi, sai sót"
2797,育ち,DỤC,そだち,"lớn lên, trưởng thành"
2798,当て,ĐƯƠNG,あて,"nhờ cậy, trông đợi"
2799,果て,QUẢ,はて,kết thúc
2800,叫び,KHIẾU,さけび,la hét
2801,結び,KẾT,むすび,kết nối
2802,詫び,TRÁ,わび,xin lỗi
2803,調べ,ĐIỀU,しらべ,điều tra
2804,延べ,DIÊN,のべ,kéo dài
2805,歩み,BỘ,あゆみ,"đi bộ, bước đi, quá trình"
2806,進み,TIẾN,すすみ,tiến triển
2807,弛み,THỈ,たゆみ,"uể oải, chùn xuống"
2808,悩み,NÃO,なやみ,lo âu
2809,盗み,ĐẠO,ぬすみ,trộm cắp
2810,恵み,HUỆ,めぐみ,"may mắn, ân huệ"
2811,諦め,ĐẾ,あきらめ,từ bỏ
2812,勧め,KHUYẾN,すすめ,"khuyến khích, khuyên"
2813,攻め,CÔNG,せめ,tấn công
2814,怒り,NỘ,いかり,nổi giận
2815,祈り,KỲ,いのり,cầu nguyện
2816,狩り,THÚ,かり,săn bắt
2817,粘り,NIÊM,ねばり,kết dính
2818,振り,CHẤN,ふり,"diễn (vai), vẫy"
2819,借り,TÁ,かり,mượn
2820,憧れ,SUNG,あこがれ,ước ao
2821,遅れ,TRÌ,おくれ,"trễ, muộn"
2822,慣れ,QUÁN,なれ,"quen, thói quen"
2823,疑い,NGHI,うたがい,nghi ngờ
2824,占い,CHIÊM,うらない,bói
2825,潤い,NHUẬN,うるおい,làm ướt
2826,憂い,ƯU,うれい,ưu buồn
2827,老い,LÃO,おい,già
2828,通い,THÔNG,かよい,đi đi về về
2829,悔い,HỐI,くい,hối hận
2830,誓い,THỆ,ちかい,thề thốt
2831,迷い,MÊ,まよい,"lầm lạc, dao động"
2832,呪い,CHÚ,のろい,nguyền rủa
2833,甘え,CAM,あまえ,ỷ lại
2834,飢え,CƠ,うえ,đói
2835,聞こえ,VĂN,きこえ,"nghe thấy, lời đồn"
2836,支え,CHI,ささえ,"nâng đỡ, duy trì"
2837,蓄え,SÚC,たくわえ,tích trữ
2838,控え,KHỐNG,ひかえ,"bản sao, bổ sung"
2839,傾き,KHUYNH,かたむき,"hướng, khuynh hướng"
2840,乾き,CAN,かわき,làm khô
2841,渇き,KHÁT,かわき,khát
2842,嘆き,THÁN,なげき,nỗi buồn
2843,儲け,TRỮ,もうけ,kiếm lời
2844,急ぎ,CẤP,いそぎ,"vội vàng, gấp gáp"
2845,安らぎ,AN,やすらぎ,"hòa bình, tĩnh lặng"
2846,透かし,THẤU,すかし,dấu chìm (trên giấy)
2847,足し,TÚC,たし,"cộng, thêm"
2848,通し,THÔNG,とおし,"thông qua, trải qua"
2849,習わし,TẬP,ならわし,"tập tục, luyện tập"
2850,許し,HỨA,ゆるし,"cho phép, tha thứ"
2851,笑み,TIẾU,えみ,cười
2852,極み,CỰC,きわみ,"cùng cực, tận cùng"
2853,染み,NHIỄM,しみ,"thấm, ngấm"
2854,企み,XÍ,たくらみ,kế hoạch
2855,弾み,ĐẠN,はずみ,"nảy lên, được khuấy động"
2856,含み,HÀM,ふくみ,bao gồm
2857,定め,ĐỊNH,さだめ,vận mệnh
2858,責め,TRÁCH,せめ,trách nhiệm
2859,詰め,CẬT,つめ,nhồi nhét
2860,並び,TỊNH,ならび,"sắp xếp, bày trí"
2861,伸び,THÂN,のび,kéo dài
2862,憤り,PHẪN,いきどおり,phẫn nộ
2863,至り,CHÍ,いたり,đạt đến
2864,偽り,NGỤY,いつわり,"làm giả, ngụy tạo"
2865,彩り,THÁI,いろどり,nhuộm
2866,映り,ÁNH,うつり,hiện ảnh
2867,関わり,QUAN,かかわり,liên quan
