STT,漢字,音（漢越）,読み方,意味
2930,淡い,ĐẠM,あわい,"nhạt, nhẹ, yếu ớt"
2931,潔い,KHIẾT,いさぎよい,"trong sạch, quyết đoán"
2932,快い,KHOÁI,こころよい,"dễ chịu, sảng khoái"
2933,厳しい,NGHIÊM,きびしい,nghiêm khắc
2934,詳しい,TƯỜNG,くわしい,"chi tiết, tường tận, cặn kẽ"
2935,寂しい,TỊCH,さびしい,"buồn, cô đơn"
2936,乏しい,PHẠP,とぼしい,nghèo túng
2937,華々しい,HOA HOA,はなばなしい,"hào hoa, tráng lệ"
2938,紛らわしい,PHÂN,まぎらわしい,"dễ nhầm lẫn, khó phân biệt"
2939,目覚しい,MỤC GIÁC,めざましい,"đáng chú ý, nổi bật"
2940,煩わしい,PHIỀN,わずらわしい,phiền toái
2941,渋い,SÁP,しぶい,"chát, giản dị, keo kiệt"
2942,切ない,THIẾT,せつない,"buồn, đau lòng"
2943,尊い,TÔN,とうとい,"quý báu, đáng tôn kính"
2944,貴い,QUÝ,とうとい,"tôn quý, quý giá"
2945,脆い,THÚY,もろい,"dễ vỡ, chịu đựng kém, dễ xiêu lòng"
2946,拙い,CHUYẾT,つたない,"dở, vụng về"
2947,著しい,TRỨ,いちじるしい,"rõ ràng, minh bạch, nổi bật"
2948,卑しい,TI,いやしい,"ti tiện, hạ cấp"
2949,久しい,CỬU,ひさしい,bấy lâu nay
2950,空しい,KHÔNG,むなしい,trống rỗng
2951,好ましい,HẢO,このましい,"đáng yêu, dễ mến"
2952,悩ましい,NÃO,なやましい,lo âu
2953,望ましい,VỌNG,のぞましい,mong mỏi
2954,待ち遠しい,ĐÃI VIỄN,まちどおしい,mong ngóng
2955,見苦しい,KIẾN KHỔ,みぐるしい,khó coi
2956,情けない,TÌNH,なさけない,tiếc nuối vì không như kì vọng
2957,何気ない,HÀ KHÍ,なにげない,"bất chợt, thờ ơ, lãnh đạm"
2958,物足りない,VẬT TÚC,ものたりない,không đủ thỏa mãn
2959,荒っぽい,HOANG,あらっぽい,thô lỗ
2960,安っぽい,AN,やすっぽい,rẻ tiền
2961,煙たい,YÊN,けむたい,"ngột ngạt, gò bó"
2962,眠たい,MIÊN,ねむたい,buồn ngủ
2963,平たい,BÌNH,ひらたい,bằng phẳng
2964,心強い,TÂM CƯỜNG,こころづよい,"làm yên lòng, làm vững dạ"
2965,心細い,TÂM TẾ,こころぼそい,"cô đơn, bất an"
2966,素早い,TỐ TẢO,すばやい,nhanh nhẹn
2967,情け深い,TÌNH THÂM,なさけぶかい,cảm thông sâu sắc
2968,欲深い,DỤC THÂM,よくぶかい,"ham muốn, tham lam"
2969,名高い,DANH CAO,なだかい,"nổi tiếng, nổi danh"
2970,生臭い,SINH XÚ,なまぐさい,"có mùi máu, tanh"
2971,真ん丸い,CHÂN HOÀN,まんまるい,tròn trịa
2972,香ばしい,HƯƠNG,こうばしい,thơm phức
2973,痛ましい,THỐNG,いたましい,"đáng thương, khổ sở"
2974,疑わしい,NGHI,うたがわしい,nghi hoặc
2975,輝かしい,HUY,かがやかしい,"sáng ngời, rực rỡ"
2976,嘆かわしい,THÁN,なげかわしい,"than thở, than van"
2977,腹立たしい,PHÚC LẬP,はらだたしい,"tức giận, nổi nóng"
2978,誇らしい,KHOA,ほこらしい,kiêu ngạo
2979,喜ばしい,HỈ,よろこばしい,vui mừng
2980,暑苦しい,THỬ KHỔ,あつくるしい,nóng bức
2981,息苦しい,TỨC KHỔ,いきぐるしい,"ngộp thở, khó thở"
2982,重苦しい,TRỌNG KHỔ,おもくるしい,nặng nề
2983,堅苦しい,KIÊN KHỔ,かたくるしい,cứng nhắc
2984,心苦しい,TÂM KHỔ,こころぐるしい,"lo lắng, đau lòng"
2985,狭苦しい,HIỆP KHỔ,せまくるしい,chật hẹp
2986,寝苦しい,TẨM KHỔ,ねぐるしい,khó ngủ
2987,荒々しい,HOANG HOANG,あらあらしい,"thô kệch, cục mịch"
2988,重々しい,TRỌNG TRỌNG,おもおもしい,"nặng nhọc, uy nghiêm, trang trọng"
2989,生々しい,SINH SINH,なまなましい,"mới mẻ, sống động"
2990,苦々しい,KHỔ KHỔ,にがにがしい,rất không thoải mái
2991,弱弱しい,NHƯỢC NHƯỢC,よわよわしい,yếu ớt
2992,押し付けがましい,ÁP PHÓ,おしつけがましい,ép buộc
2993,恩着せがましい,ÂN TRỨ,おんきせがましい,"ra vẻ kẻ cả, bề trên"
2994,差し出がましい,SAI XUẤT,さしでがましい,"thừa, không cần thiết"
2995,名残り惜しい,DANH TÀN TÍCH,なごりおしい,"quyến luyến, lưu luyến"
2996,生易しい,SINH DỊCH,なまやさしい,đơn giản
2997,真新しい,CHÂN TÂN,まあたらしい,mới toanh
2998,目新しい,MỤC TÂN,めあたらしい,"mới mẻ, mới thấy lần đầu"
2999,目ぼしい,MỤC,めぼしい,"đáng chú ý, đáng để mắt tới"
3000,目まぐるしい,MỤC,めまぐるしい,"rối mắt, hoa cả mắt"
3001,疑い深い,NGHI THÂM,うたがいぶかい,đầy nghi hoặc
3002,遠慮深い,VIỄN LỰ THÂM,えんりょぶかい,"dè dặt, khách sáo"
3003,奥深い,ÁO THÂM,おくぶかい,sâu thẳm
3004,執念深い,CHẤP NIỆM THÂM,しゅうねんぶかい,"lằng nhằng, thù hằn, không khoan dung"
3005,慎み深い,THẬN THÂM,つつしみぶかい,"thận trọng, dè dặt"
3006,罪深い,TỘI THÂM,つみぶかい,đầy tội lỗi
3007,根深い,CĂN THÂM,ねぶかい,"bám rễ sâu, lằng nhằng"
3008,用心深い,DỤNG TÂM THÂM,ようじんぶかい,cẩn thận
3009,焦げ臭い,TIÊU XÚ,こげくさい,có mùi khét
3010,照れ臭い,CHIẾU XÚ,てれくさい,"bối rối, ngượng ngùng"
3011,古臭い,CỔ XÚ,ふるくさい,cũ rích
3012,水臭い,THỦY XÚ,みずくさい,"xa cách, khó gần, nhạt thếch"
3013,がまん強い,CƯỜNG,がまんづよい,chịu đựng giỏi
3014,辛抱強い,TÂN BÃO CƯỜNG,しんぼうづよい,giỏi chịu đựng
3015,根強い,CĂN CƯỜNG,ねづよい,"bén rễ sâu, lằng nhằng, ổn định về kinh tế"
3016,粘り強い,NIÊM CƯỜNG,ねばりづよい,dính chặt
3017,救い難い,CỨU NAN,すくいがたい,khó cứu vãn
3018,耐え難い,NẠI NAN,たえがたい,không chịu đựng nổi
3019,甘酸っぱい,CAM TOAN,あますっぱい,chua ngọt
3020,湿っぽい,THẤP,しめっぽい,"ẩm ướt, buồn bã"
3021,熱っぽい,NHIỆT,ねつっぽい,"phát sốt, muốn bệnh"
3022,人懐っこい,NHÂN HOÀI,ひとなつっこい,thân mật
3023,後ろ暗い,HẬU ÁM,うしろぐらい,"mờ ám, ám muội"
3024,後ろめたい,HẬU,うしろめたい,"tội lỗi, mờ ám"
3025,気まずい,KHÍ,きまずい,không thoải mái
3026,気難しい,KHÍ NAN,きむずかしい,khó chiều
3027,図太い,ĐỒ THÁI,ずぶとい,cố chấp
3028,手厚い,THỦ HẬU,てあつい,"lịch sự, mến khách"
3029,手洗い,THỦ TẨY,てあらい,"rửa tay, toa-lét, giặt tay"
3030,手痛い,THỦ THỐNG,ていたい,"nhức nhói, nghiêm trọng"
3031,手堅い,THỦ KIÊN,てがたい,"cứng rắn, kiên quyết, không nhân nhượng"
3032,手厳しい,THỦ NGHIÊM,てきびしい,"không nương tay, không dung thứ"
3033,手強い,THỦ CƯỜNG,てごわい,"khó đánh bại, rất giỏi"
3034,手っ取り早い,THỦ THỦ TẢO,てっとりばやい,"giản lược, nhanh nhẹn"
3035,手早い,THỦ TẢO,てばやい,nhanh nhẹn
3036,涙もろい,LỆ,なみだもろい,"mít ướt, mau nước mắt, dễ mủi lòng"
3037,歯がゆい,XỈ,はがゆい,"sốt ruột, thiếu kiên nhẫn"
3038,幅広い,PHÚC QUẢNG,はばひろい,sâu rộng
3039,細長い,TẾ TRƯỜNG,ほそながい,thon dài
3040,程遠い,TRÌNH VIỄN,ほどとおい,khá xa
3041,か細い,TẾ,かほそい,"mảnh khảnh, thỏ thẻ"
3042,か弱い,NHƯỢC,かよわい,yếu ớt
3043,小高い,TIỂU CAO,こだかい,hơi cao
3044,ひょろ長い,TRƯỜNG,ひょろながい,"khẳng khiu, suôn đuột"
3045,分厚い／部厚い,PHÂN HẬU / BỘ HẬU,ぶあつい,khá dày
3046,ほの暗い,ÁM,ほのぐらい,hơi tối
3047,ほろ苦い,KHỔ,ほろにがい,đăng đắng
3048,味気ない,VỊ KHÍ,あじけない,chán ngắt
3049,大人げない,ĐẠI NHÂN,おとなげない,"trẻ con, chưa chín chắn"
3050,危なげない,NGUY,あぶなげない,"an toàn, không nguy hiểm"
3051,心ない,TÂM,こころない,vô tâm
3052,心もとない,TÂM,こころもとない,"bấp bênh, lo lắng, băn khoăn"
3053,果てしない,QUẢ,はてしない,vô tận
3054,限りない,HẠN,かぎりない,vô cùng
3055,極まりない,CỰC,きわまりない,cực kì
3056,頼りない,LẠI,たよりない,"không đáng tin, tắc trách"
