STT,漢字,音（漢越）,読み方,意味
6501,紛争がおさまる,-,ふんそうがおさまる,phân tranh lắng xuống
6502,差が縮まる,SÚC (縮),さがちぢまる,sự chênh lệch thu hẹp
6503,説得に努める,NỖ (努),せっとくにつとめる,cố gắng thuyết phục
6504,理解が深まる,THÂM (深),りかいがふかまる,hiểu biết sâu rộng
6505,考え方を改める,CẢI (改),かんがえかたをあらためる,thay đổi cách nghĩ
6506,税金を納める,NẠP (納),ぜいきんをおさめる,đóng thuế
6507,技を極める,CỰC (極),わざをきわめる,rèn luyện kĩ năng
6508,心を込める,(込: quốc tự),こころをこめる,bỏ hết tâm trí vào
6509,品を勧める,KHUYẾN (勧),しなをすすめる,chào hàng
6510,景色を眺める,THIẾU (眺),けしきをながめる,ngắm cảnh
6511,負けを認める,NHẬN (認),まけをみとめる,"đầu hàng, chịu thua"
6512,会社を辞める,TỪ (辞),かいしゃをやめる,nghỉ làm
6513,スピードを緩める,HOÃN (緩),スピードをゆるめる,"kiểm soát tốc độ, tự kiềm chế"
6514,態度が改まる,CẢI (改),たいどがあらたまる,thái độ thay đổi
6515,財宝が埋まる,MAI (埋),ざいほうがうまる,của cải được chôn giấu
6516,かばんに収まる,THU (収),かばんにおさまる,nhét vừa khít túi xách
6517,国が治まる,TRỊ (治),くにがおさまる,đất nước yên ổn
6518,糸が絡まる,LẠC (絡),いとがからまる,chỉ bị rối
6519,方針が定まる,ĐỊNH (定),ほうしんがさだまる,đi tới quyết định
6520,真っ赤に染まる,NHIỄM (染),まっかにそまる,nhuộm màu đỏ rực
6521,仕事が務まる,VỤ (務),しごとがつとまる,công việc đảm nhiệm được
6522,足を痛める,THỐNG (痛),あしをいためる,làm chân đau
6523,野菜を炒める,SAO (炒),やさいをいためる,xào rau
6524,骨を埋める,MAI (埋),ほねをうずめる,"gắn bó đến chết (với công ty), sống quãng đời còn lại"
6525,意志を固める,CỐ (固),いしをかためる,quyết chí
6526,方針を定める,ĐỊNH (定),ほうしんをさだめる,lập ra phương châm
6527,海に沈める,TRẦM (沈),うみにしずめる,chìm xuống biển
6528,髪を染める,NHIỄM (染),かみをそめる,nhuộm tóc
6529,この程度に止める,CHỈ (止),このていどにとどめる,dừng ở chừng này
6530,規制を緩める,HOÃN (緩),きせいをゆるめる,nới lỏng quy chế
6531,色がさめる,-,いろがさめる,"phai màu, bạc màu"
6532,我が子を戒める,GIỚI (戒),わがこをいましめる,răn dạy con mình
6533,学問を修める,TU (修),がくもんをおさめる,"theo đuổi việc học, tu học"
6534,学問を究める,CỨU (究),がくもんをきわめる,đào sâu nghiên cứu
6535,貧困を窮める,CÙNG (窮),ひんこんをきわめる,tận cùng sự nghèo khổ
6536,悪人を懲らしめる,TRỪNG (懲),あくにんをこらしめる,đưa ra hình phạt cho kẻ ác
6537,首を絞める,GIẢO (絞),くびをしめる,"bóp cổ, siết cổ"
6538,謎を秘める,BÍ (秘),なぞをひめる,dấu kín bí mật
6539,力が尽きる,TẪN (尽),ちからがつきる,dốc hết sức lực
6540,酒気を帯びる,ĐỚI (帯),しゅきをおびる,nồng nặc hơi rượu
6541,我が身を省みる,TỈNH (省),わがみをかえりみる,"soi rọi bản thân, nhìn lại mình"
6542,歴史を顧みる,CỐ (顧),れきしをかえりみる,nhớ lại lịch sử
6543,冒険を試みる,THÍ (試),ぼうけんをこころみる,thử mạo hiểm
6544,チームを率いる,SUẤT (率),チームをひきいる,dẫn dắt đội
6545,人が老いる,LÃO (老),ひとがおいる,già đi
6546,家が朽ちる,HỦ (朽),いえがくちる,nhà mục nát
6547,失敗に懲りる,TRỪNG (懲),しっぱいにこりる,ngộ ra thất bại
6548,花が萎びる,ỦY (萎),はながしなびる,hoa héo
6549,インクが染みる,NHIỄM (染),インクがしみる,thấm mực
6550,体制が綻びる,TRÁN (綻),たいせいがほころびる,thể chế rời rạc
6551,国が滅びる,DIỆT (滅),くにがほろびる,đất nước bị hủy diệt
6552,行為を恥じる,SỈ (恥),こういをはじる,xấu hổ về hành vi
6553,上司に媚びる,MỊ (媚),じょうしにこびる,"liếm gót sếp, bợ đỡ sếp"
6554,田が干からびる,CAN (干),たがひからびる,đất đai khô cằn
6555,恩に報いる,BÁO (報),おんにむくいる,"báo ân, trả ơn"
6556,先例に鑑みる,GIÁM (鑑),せんれいにかんがみる,xem lại tiền lệ
6557,過去を悔いる,HỐI (悔),かこをくいる,tiếc nuối quá khứ
