STT,漢字,音（漢越）,読み方,意味
553,印鑑,ẤN GIÁM,いんかん,con dấu
556,歓声,HOAN THANH,かんせい,hoan hô / cổ vũ
557,関税,QUAN THUẾ,かんぜい,thuế quan (xuất nhập khẩu)
558,幹部,CÁN BỘ,かんぶ,quan chức / cán bộ / người phụ trách
559,元来,NGUYÊN LAI,がんらい,trước đến nay / vốn dĩ
560,慣例,QUÁN LỆ,かんれい,tập quán / thói quen
561,還暦,HOÀN LỊCH,かんれき,sinh nhật đón U60
562,緊急,KHẨN CẤP,きんきゅう,khẩn cấp
563,近郊,CẬN GIAO,きんこう,vùng ngoại ô
564,禁物,CẤM VẬT,きんもつ,điều cấm kị
565,権威,QUYỀN UY,けんい,uy quyền
566,言動,NGÔN ĐỘNG,げんどう,lời nói và hành động
567,権力,QUYỀN LỰC,けんりょく,quyền lực
569,昆虫,CÔN TRÙNG,こんちゅう,côn trùng
570,根底,CĂN ĐÊ,こんてい,căn nguyên / gốc rà
571,山岳,SAN NHẠC,さんがく,vùng đồi núi / dãy núi
572,山腹,SAN PHÚC,さんぷく,sươn nái
573,神経,THẦN KINH,しんけい,tinh thần / thần kinh
575,信者,TÍN GIẢ,しんじゃ,người theo đạo
576,真珠,CHÂN TRÂU,しんじゅ,ngọc trai / chân trâu
577,檥善,THÂN THIỆN,しんぜん,sự thân thiện / giao hữt
578,真相,CHÂN TƯƠNG,しんそう,chân tướng
579, 神秘,THÂN BÍ,しんぴ,thần bí
580,繊維,TIÊM DUY,せんい,sợi dệt / chất sơ
581,全盛,TOÀN THỊNH,ぜんせい,thịnh vượng
582,前途,TIỀN ĐỒ,ぜんと,chặng đường / triển vọng tương lai
583,船舶,THUYỀN BẠC,せんぱく,tàu thuyền
585,断面,ĐOẠN DIỆN,だんめん,mặt cắt
586,賃金,NHẪM KIM,ちんぎん,tiền lương
587,典型,ĐIỂN HÌNH,てんけい,điển hình
589,万人,VẠN NHÂN,まんにん / ばんにん,nhiều người
591,品種,PHẨM CHỦNG,ひんしゅ,loại / giống (động thực vật)
593,便宜,TIỆN NGHI,べんぎ,tiện nghi / tiện lợi
594,偏見,THIÊN KIẾN,へんけん,kiến nghị / thành kiến
595,本名,BỔN DANH,ほんみょう,tên thật
596,慢性,MÃN TÍNH,まんせい,mãn tính
597,面目,DIỆN MỤC,めんもく / めんぼく,bộ mặt / danh dự / thể diện
598,連日,LIÊN NHẬT,れんじつ,ngày qua ngày
599,運輸,VẬN THÂU,うんゆ,vận chuyển / vận tải
600,沿岸,DUYÊN NGẠN,えんがん,bờ biển
601,縁談,DUYÊN ĐÀM,えんだん,mai mối / chuyện hôn nhân
602,観衆,QUAN CHÚNG,かんしゅう,khán giả
603,感触,CẢM XÚC,かんしょく,cảm xúc
604,岩石,NHAM THẠCH,がんせき,đá / nham thạch
605,慣用,QUÁN DỤNG,かんよう,thông dụng
606,官僚,QUAN LIÊU,かんりょう,quan chức
607,貫禄,QUÁN LỘC,かんろく,uy nghiêm / chững chạc
608,勤労,CẦN LAO,きんろう,chăm chỉ lao động
609,軍備,QUÂN BỊ,ぐんび,quân trang
612,原子,NGUYÊN TỬ,げんし,nguyên tử
613,元首,NGUYÊN THỦ,げんしゅ,lãnh đạo cấp cao
614,懸賞,HUYỀN THƯỞNG,けんしょう,giải thưởng
615,元素,NGUYÊN TỐ,げんそ,nguyên tố
616,原典,NGUYÊN ĐIỂN,げんてん,bản gốc
617,根本,CĂN BẢN,こんぽん / ねもと,nguồn gốc / gốc rễ
618,山頂,SƠN ĐỈNH,さんちょう,đỉnh núi
619,山脈,SƠN MẠCH,さんみゃく,dãy núi
621,新興,TÂN HƯNG,しんこう,mới nổi / phát triển
622,紳士,THẦN SĨ,しんし,quý ông
623,人体,NHÂN THỂ,じんたい,cơ thể
624,神殿,THẦN ĐIỆN,しんでん,đền thờ
625,信念,TÍN NIỆM,しんねん,tin tưởng / tín nhiệm
626,前提,TIỀN ĐỀ,ぜんてい,điều kiện tiên quyết / tiền đề
627,担架,ĐAM GIÁ,たんか,cái cáng / băng ca
628,炭素,THAN TỐ,たんそ,cacbon
629,単独,ĐƠN ĐỘC,たんどく,riêng / lẻ / đơn độc
630,弾力,ĐÀN LỰC,だんりょく,đàn hồi / linh hoạt / dai (đồ ăn)
631,人情,NHÂN TÌNH,にんじょう,thói quen / tình người
633,燃料,NHIÊN LIỆU,ねんりょう,nhiên liệu
636,品質,PHẨM CHẤT,ひんしつ,chất lượng
637,分母,PHẢN MẪU,ぶんぼ,mừu số
638,綉末,PHẤN MẠT,ふんまつ,bột mịn
639,弁諺,BIỆN LUẬN,べんろん,hùng biỆn
640,民俗,DÂN TỨC,みんぞく,phong tục địa phương
641,恋愛,LUYẾN ÁI,れんあい,tình yêu
