STT,漢字,音（漢越）,読み方,意味
4311,善悪,THIỆN ÁC,ぜんあく,thiện và ác
4312,善意,THIỆN Ý,ぜんい,thiện ý
4313,偽善,NGỤY THIỆN,ぎぜん,đạo đức giả
4314,最善,TỐI THIỆN,さいぜん,tốt nhất
4315,親善,THÂN THIỆN,しんぜん,"hữu nghị, thân tình"
4316,善処,THIỆN XỬ,ぜんしょ,xử lý phù hợp
4317,善戦,THIỆN CHIẾN,ぜんせん,chiến đấu ngoan cường
4318,改善,CẢI THIỆN,かいぜん,cải thiện
4319,探偵,THÁM TRINH,たんてい,"thám tử, trinh thám"
4320,探知機,THÁM TRI CƠ,たんちき,máy dò tìm
4321,探究,THÁM CỨU,たんきゅう,"nghiên cứu, điều tra"
4322,探検,THÁM HIỂM,たんけん,thám hiểm
4323,探査,THÁM TRA,たんさ,thăm dò
4324,探索,THÁM TÁC,たんさく,tìm kiếm
4325,単一,ĐƠN NHẤT,たんいつ,"chỉ có một, duy nhất"
4326,単価,ĐƠN GIÁ,たんか,"đơn giá, giá của một sản phẩm"
4327,単身,ĐƠN THÂN,たんしん,"đơn thân, độc thân, đơn độc"
4328,単調,ĐƠN ĐIỀU,たんちょう,"đơn điệu, tẻ nhạt"
4329,単独,ĐƠN ĐỘC,たんどく,đơn độc
4330,簡単,GIẢN ĐƠN,かんたん,đơn giản
4331,点字,ĐIỂM TỰ,てんじ,chữ nổi (cho người mù)
4332,点線,ĐIỂM TUYẾN,てんせん,"đường chấm, đường nét đứt"
4333,観点,QUAN ĐIỂM,かんてん,quan điểm
4334,起点,KHỞI ĐIỂM,きてん,điểm bắt đầu
4335,欠点,KHUYẾT ĐIỂM,けってん,khuyết điểm
4336,弱点,NHƯỢC ĐIỂM,じゃくてん,"nhược điểm, điểm yếu"
4337,終点,CHUNG ĐIỂM,しゅうてん,"điểm cuối, trạm cuối"
4338,重点,TRỌNG ĐIỂM,じゅうてん,điểm quan trọng
4339,点火,ĐIỂM HỎA,てんか,"châm lửa, đánh lửa"
4340,点検,ĐIỂM KIỂM,てんけん,kiểm tra chi tiết
4341,点灯,ĐIỂM ĐĂNG,てんとう,chiếu sáng
4342,点滅,ĐIỂM DIỆT,てんめつ,"nhấp nháy, chớp tắt"
4343,得点,ĐẮC ĐIỂM,とくてん,số điểm đạt được
4344,天下,THIÊN HẠ,てんか,"khắp thế giới, quyền cai trị"
4345,天狗,THIÊN CẨU,てんぐ,yêu tinh mũi dài
4346,天国,THIÊN QUỐC,てんごく,thiên đàng
4347,天才,THIÊN TÀI,てんさい,thiên tài
4348,天災,THIÊN TAI,てんさい,thiên tai
4349,天使,THIÊN SỨ,てんし,thiên sứ
4350,天体,THIÊN THỂ,てんたい,thiên thể
